index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0024,1.5982,tool,0,NR,0,999.0000,NR,0,999.0000
2,1,2,13.6023,1.5982,tool,0,0,1,0.5790,NR,0,999.0000
3,1,3,15.2007,1.5998,tool,1,NR,0,999.0000,1,1,0.1555
4,1,4,16.8008,1.6003,tool,0,0,1,0.4888,NR,0,0.5864
5,1,5,18.4012,1.5996,tool,0,0,1,0.5235,NR,0,999.0000
6,1,6,20.0010,1.5992,tool,0,0,1,0.5309,NR,0,999.0000
7,1,7,21.6004,1.6004,tool,1,1,1,0.5214,NR,0,999.0000
8,1,8,23.2010,1.5996,tool,0,0,1,0.4027,NR,0,0.1862
9,1,9,24.8009,1.6001,tool,0,0,1,0.4303,NR,0,0.5871
10,1,10,26.4012,1.6000,tool,1,1,1,0.3681,NR,0,999.0000
11,1,11,28.0197,9.9817,rest,0,NR,1,7.9039,NR,1,0.0000
12,1,12,38.0016,1.5994,virtualtown,0,NR,0,999.0000,NR,0,999.0000
13,1,13,39.6013,1.5989,virtualtown,0,NR,0,0.3947,1,0,0.0828
14,1,14,41.2004,1.6009,virtualtown,0,NR,0,999.0000,1,0,0.1073
15,1,15,42.8014,1.5995,virtualtown,1,0,0,0.3885,NR,0,0.5963
16,1,16,44.4012,1.5995,virtualtown,0,NR,0,999.0000,0,1,0.8175
17,1,17,46.0009,1.6005,virtualtown,1,NR,0,999.0000,1,1,0.0639
18,1,18,47.6016,1.5990,virtualtown,0,NR,0,0.3949,0,1,0.5980
19,1,19,49.2008,1.6006,virtualtown,0,NR,0,999.0000,0,1,0.2023
20,1,20,50.8016,1.5989,virtualtown,0,NR,0,999.0000,0,1,0.0424
21,1,21,52.4008,1.5999,virtualtown,1,1,1,0.4442,NR,0,999.0000
22,1,22,54.0058,9.9956,rest,0,NR,1,7.9536,NR,1,0.0000
23,1,23,64.0018,1.5996,tool,0,NR,0,999.0000,NR,0,999.0000
24,1,24,65.6016,1.5990,tool,0,NR,0,0.4052,0,1,0.0158
25,1,25,67.2008,1.6006,tool,1,1,1,0.3694,NR,0,0.1952
26,1,26,68.8016,1.5990,tool,0,0,1,0.5539,NR,0,0.6052
