index	block	miniblock	category	rep	imgID	imgFile
1	1	1	fruitveg	0	fruitveg16	Acelery3_resized.jpg
2	1	1	fruitveg	0	fruitveg9	B_banana.jpg
3	1	1	fruitveg	0	fruitveg76	parsnips.jpg
4	1	1	fruitveg	1	fruitveg76	parsnips.jpg
5	1	1	fruitveg	0	fruitveg18	Acorn10.jpg
6	1	1	fruitveg	0	fruitveg7	Alemon11.jpg
7	1	1	fruitveg	1	fruitveg7	Alemon11.jpg
8	1	1	fruitveg	0	fruitveg36	flavor-supreme-a.jpg
9	1	1	fruitveg	0	fruitveg35	tomato_mortgage_lifter.jpg
10	1	1	fruitveg	1	fruitveg35	tomato_mortgage_lifter.jpg
11	1	0	rest	0	rest	rest
12	1	2	virtualtown	0	virtualtown54	vid_2114.jpg
13	1	2	virtualtown	0	virtualtown5	vid_0622.jpg
14	1	2	virtualtown	0	virtualtown19	vid_0976.jpg
15	1	2	virtualtown	0	virtualtown23	vid_1707.jpg
16	1	2	virtualtown	1	virtualtown23	vid_1707.jpg
17	1	2	virtualtown	0	virtualtown29	vid_0240.jpg
18	1	2	virtualtown	1	virtualtown29	vid_0240.jpg
19	1	2	virtualtown	0	virtualtown4	vid_0482.jpg
20	1	2	virtualtown	1	virtualtown4	vid_0482.jpg
21	1	2	virtualtown	0	virtualtown44	vid_0237.jpg
22	1	0	rest	0	rest	rest
23	1	3	tool	0	tool10	0.96_Athimble2.jpg
24	1	3	tool	0	tool77	59d69605-c8c8-4899-bd98-2ef78045147e_300.jpg
25	1	3	tool	0	tool74	b130056.jpg
26	1	3	tool	1	tool74	b130056.jpg
27	1	3	tool	0	tool14	33083-1010-3ww-l.jpg
28	1	3	tool	1	tool14	33083-1010-3ww-l.jpg
29	1	3	tool	0	tool1	0.55_AMAGNGLA3.jpg
30	1	3	tool	0	tool51	ACAMERA71.jpg
31	1	3	tool	1	tool51	ACAMERA71.jpg
32	1	3	tool	0	tool80	chopper.jpg
33	1	0	rest	0	rest	rest
34	1	4	tool	0	tool67	sonyheadphones.jpg
35	1	4	tool	0	tool44	26390661.thl.jpg
36	1	4	tool	0	tool16	DemoDriver_beauty-Cutaway-RGB.jpg
37	1	4	tool	0	tool9	0.93_Aductta15.jpg
38	1	4	tool	1	tool9	0.93_Aductta15.jpg
39	1	4	tool	0	tool26	Acanopener4.jpg
40	1	4	tool	1	tool26	Acanopener4.jpg
41	1	4	tool	0	tool6	0.75_Abinoculars5.jpg
42	1	4	tool	0	tool31	Apaperclip3.jpg
43	1	4	tool	1	tool31	Apaperclip3.jpg
44	1	0	rest	0	rest	rest
45	1	5	virtualtown	0	virtualtown73	vid_0651.jpg
46	1	5	virtualtown	0	virtualtown80	vid_2070.jpg
47	1	5	virtualtown	1	virtualtown80	vid_2070.jpg
48	1	5	virtualtown	0	virtualtown30	vid_0315.jpg
49	1	5	virtualtown	1	virtualtown30	vid_0315.jpg
50	1	5	virtualtown	0	virtualtown12	vid_1700.jpg
51	1	5	virtualtown	0	virtualtown17	vid_0559.jpg
52	1	5	virtualtown	1	virtualtown17	vid_0559.jpg
53	1	5	virtualtown	0	virtualtown11	vid_1546.jpg
54	1	5	virtualtown	0	virtualtown74	vid_0784.jpg
55	1	0	rest	0	rest	rest
56	1	6	face	0	face5	TMWfemale19-2neutral.jpg
57	1	6	face	0	face51	WWfemale22neutral.jpg
58	1	6	face	0	face63	WWmale22-2neutral.jpg
59	1	6	face	0	face49	WWfemale22-4neutral.jpg
60	1	6	face	0	face62	WWmale21neutral.jpg
61	1	6	face	1	face62	WWmale21neutral.jpg
62	1	6	face	0	face64	WWmale22-3neutral.jpg
63	1	6	face	1	face64	WWmale22-3neutral.jpg
64	1	6	face	0	face68	WWmale23-3neutral.jpg
65	1	6	face	1	face68	WWmale23-3neutral.jpg
66	1	0	rest	0	rest	rest
67	1	7	animal	0	animal24	1.80_rhino.jpg
68	1	7	animal	0	animal68	1.25_gerbil.jpg
69	1	7	animal	1	animal68	1.25_gerbil.jpg
70	1	7	animal	0	animal41	0.45_bird-cardinal.jpg
71	1	7	animal	0	animal40	0.44_prariedog.jpg
