index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
171,1,171,410.0008,1.5998,tool,0,0,1,0.4608,NR,0,999.0000
172,1,172,411.6008,1.5995,tool,0,NR,0,999.0000,0,1,0.2307
173,1,173,413.2005,1.5995,tool,1,1,1,0.3946,NR,0,999.0000
174,1,174,414.8002,1.6010,tool,0,0,1,0.4820,NR,0,999.0000
175,1,175,416.4015,1.5992,tool,0,NR,0,999.0000,0,1,0.2605
176,1,176,418.0190,9.9822,rest,0,NR,1,999.0000,NR,1,0.0000
177,1,177,428.0014,1.5995,virtualtown,0,NR,0,999.0000,0,1,0.2093
178,1,178,429.6012,1.5993,virtualtown,0,0,1,0.5454,NR,0,999.0000
179,1,179,431.2007,1.6004,virtualtown,1,NR,0,999.0000,NR,0,999.0000
180,1,180,432.8013,1.5989,virtualtown,0,0,1,0.5807,NR,0,999.0000
181,1,181,434.4004,1.5999,virtualtown,1,NR,0,999.0000,1,1,0.2750
182,1,182,436.0005,1.6008,virtualtown,0,NR,0,999.0000,0,1,0.3652
183,1,183,437.6015,1.5990,virtualtown,0,NR,0,999.0000,0,1,0.3997
184,1,184,439.2007,1.5994,virtualtown,0,NR,0,999.0000,0,1,0.2893
185,1,185,440.8003,1.5997,virtualtown,1,NR,0,999.0000,1,1,0.0358
186,1,186,442.4003,1.6007,virtualtown,0,0,1,0.5831,NR,0,999.0000
187,1,187,444.0122,9.9883,rest,0,NR,1,999.0000,NR,1,0.0000
188,1,188,454.0007,1.6002,fruitveg,0,NR,0,999.0000,0,1,0.5874
189,1,189,455.6011,1.5993,fruitveg,0,NR,0,999.0000,0,1,0.0218
190,1,190,457.2006,1.6007,fruitveg,0,0,1,0.3912,NR,0,999.0000
191,1,191,458.8015,1.5994,fruitveg,1,1,1,0.3428,NR,0,999.0000
192,1,192,460.4011,1.5999,fruitveg,0,0,1,0.4768,NR,0,999.0000
193,1,193,462.0012,1.5991,fruitveg,0,0,1,0.5342,NR,0,999.0000
194,1,194,463.6004,1.5998,fruitveg,0,0,1,0.4174,NR,0,999.0000
195,1,195,465.2004,1.6006,fruitveg,1,NR,0,999.0000,1,1,0.2270
196,1,196,466.8012,1.5994,fruitveg,0,0,1,0.5593,NR,0,999.0000
197,1,197,468.4008,1.5993,fruitveg,1,NR,0,999.0000,1,1,0.1538
198,1,198,470.0038,9.9973,rest,0,NR,1,999.0000,NR,1,0.0000
199,1,199,480.0013,1.6000,face,0,NR,0,999.0000,0,1,0.4957
200,1,200,481.6016,1.5994,face,0,0,1,0.5694,NR,0,999.0000
201,1,201,483.2012,1.5990,face,1,1,1,0.5358,NR,0,999.0000
202,1,202,484.8004,1.6004,face,0,0,1,0.5146,NR,0,999.0000
203,1,203,486.4009,1.5999,face,0,0,1,0.5494,NR,0,999.0000
204,1,204,488.0011,1.5991,face,0,0,1,0.5135,NR,0,999.0000
205,1,205,489.6004,1.6001,face,1,0,0,0.4500,1,1,0.4366
206,1,206,491.2007,1.5998,face,0,0,1,0.5177,NR,0,999.0000
207,1,207,492.8007,1.5994,face,0,0,1,0.4381,NR,0,999.0000
208,1,208,494.4003,1.5998,face,1,1,1,0.4983,NR,0,999.0000
209,1,209,496.0121,9.9893,rest,0,NR,1,999.0000,NR,1,0.0000
210,1,210,506.0016,1.5996,animal,0,NR,0,999.0000,0,1,0.4442
211,1,211,507.6015,1.5987,animal,0,0,1,0.5773,NR,0,999.0000
212,1,212,509.2003,1.6006,animal,1,1,1,0.4587,NR,0,999.0000
213,1,213,510.8011,1.6003,animal,0,NR,0,999.0000,0,1,0.0463
214,1,214,512.4015,1.5988,animal,0,NR,0,999.0000,NR,0,999.0000
215,1,215,514.0005,1.5999,animal,1,1,1,0.5153,NR,0,999.0000
216,1,216,515.6006,1.6007,animal,0,0,1,0.5262,NR,0,999.0000
217,1,217,517.2015,1.5994,animal,1,NR,0,999.0000,1,1,0.7334
218,1,218,518.8011,1.5996,animal,0,NR,0,999.0000,0,1,0.4386
219,1,219,520.4009,1.5997,animal,0,NR,0,999.0000,0,1,0.2995
220,1,220,522.0048,9.9963,rest,0,NR,1,999.0000,NR,1,0.0000
221,2,1,12.0017,1.6000,face,0,NR,0,999.0000,NR,0,999.0000
222,2,2,13.6020,1.5990,face,0,NR,0,999.0000,NR,0,999.0000
223,2,3,15.2011,1.5990,face,0,0,1,0.4951,NR,0,999.0000
224,2,4,16.8004,1.6007,face,1,1,1,0.3658,NR,0,999.0000
225,2,5,18.4012,1.6001,face,0,0,1,0.3458,NR,0,999.0000
226,2,6,20.0016,1.5990,face,0,0,1,0.4633,NR,0,999.0000
227,2,7,21.6008,1.5998,face,1,1,1,0.5836,NR,0,999.0000
228,2,8,23.2008,1.6004,face,0,0,1,0.4110,NR,0,999.0000
229,2,9,24.8014,1.5988,face,1,1,1,0.5724,NR,0,999.0000
230,2,10,26.4004,1.6004,face,0,0,1,0.5731,NR,0,999.0000
231,2,11,28.0136,9.9873,rest,0,NR,1,999.0000,NR,1,0.0000
232,2,12,38.0010,1.5998,face,0,NR,0,999.0000,0,1,0.0677
233,2,13,39.6010,1.5995,face,0,NR,0,999.0000,1,0,0.0509
234,2,14,41.2007,1.6000,face,1,NR,0,999.0000,1,1,0.0624
235,2,15,42.8009,1.5994,face,0,NR,0,999.0000,0,1,0.0625
236,2,16,44.4005,1.6000,face,0,0,1,0.5146,NR,0,999.0000
237,2,17,46.0006,1.5995,face,0,0,1,0.5185,NR,0,999.0000
238,2,18,47.6003,1.6004,face,1,1,1,0.5617,NR,0,999.0000
239,2,19,49.2009,1.5996,face,0,0,1,0.3835,NR,0,999.0000
240,2,20,50.8007,1.6000,face,1,1,1,0.5707,NR,0,999.0000
241,2,21,52.4009,1.6001,face,0,NR,0,999.0000,0,1,0.0312
242,2,22,54.0136,9.9867,rest,0,NR,1,999.0000,NR,1,0.0000
243,2,23,64.0006,1.6001,virtualtown,0,NR,0,999.0000,0,1,0.2645
244,2,24,65.6009,1.5992,virtualtown,0,NR,0,999.0000,0,1,0.0793
245,2,25,67.2003,1.6005,virtualtown,0,0,1,0.5766,NR,0,999.0000
246,2,26,68.8010,1.5999,virtualtown,1,NR,0,999.0000,NR,0,999.0000
247,2,27,70.4011,1.6003,virtualtown,0,NR,0,999.0000,0,1,0.1931
248,2,28,72.0016,1.5988,virtualtown,1,NR,0,999.0000,1,1,0.1019
249,2,29,73.6005,1.5999,virtualtown,0,NR,0,999.0000,0,1,0.0047
250,2,30,75.2007,1.6006,virtualtown,0,NR,0,999.0000,0,1,0.2715
251,2,31,76.8014,1.5999,virtualtown,1,NR,0,999.0000,1,1,0.1037
252,2,32,78.4016,1.5997,virtualtown,0,NR,0,999.0000,0,1,0.0119
253,2,33,80.0142,9.9869,rest,0,NR,1,999.0000,NR,1,0.0000
254,2,34,90.0013,1.5988,face,0,NR,0,999.0000,0,1,0.0608
255,2,35,91.6003,1.6003,face,0,NR,0,999.0000,0,1,0.0256
256,2,36,93.2008,1.6006,face,1,1,1,0.5456,NR,0,999.0000
257,2,37,94.8016,1.5989,face,0,0,1,0.5048,NR,0,999.0000
