index,run,trial,onset,duration,town,pic,itemNum,resp,respRT
1,1,1,1.0023,43.0095,Town3,env3,1,?,27.0729
2,1,1,1.0023,43.0095,Town3,env3,2,?,14.3732
3,1,1,1.0023,43.0095,Town3,env3,3,?,1.5596
4,1,2,44.0608,39.7098,Town10,env10,1,grapes,20.9059
5,1,2,44.0608,39.7098,Town10,env10,2,johnny depp,11.6261
6,1,2,44.0608,39.7098,Town10,env10,3,hammer,7.1759
7,1,3,83.8176,9.5624,Town12,env12,1,?,7.4491
8,1,3,83.8176,9.5624,Town12,env12,2,?,1.1441
9,1,3,83.8176,9.5624,Town12,env12,3,?,0.9673
10,1,4,93.4265,5.6658,Town7,env7,1,?,3.7923
11,1,4,93.4265,5.6658,Town7,env7,2,?,0.9201
12,1,4,93.4265,5.6658,Town7,env7,3,?,0.9516
13,1,5,99.1386,6.0678,Town8,env8,1,?,4.1710
14,1,5,99.1386,6.0678,Town8,env8,2,?,0.9423
15,1,5,99.1386,6.0678,Town8,env8,3,?,0.9526
16,1,6,105.2531,3.6572,Town5,env5,1,?,2.1443
17,1,6,105.2531,3.6572,Town5,env5,2,?,0.7281
18,1,6,105.2531,3.6572,Town5,env5,3,?,0.7829
19,1,7,108.9566,30.2300,Town4,env4,1,george clooney,19.8374
20,1,7,108.9566,30.2300,Town4,env4,2,horse,3.3025
21,1,7,108.9566,30.2300,Town4,env4,3,letttuce,7.0883
22,1,8,139.2332,7.7876,Town11,env11,1,?,6.1313
23,1,8,139.2332,7.7876,Town11,env11,2,?,0.8240
24,1,8,139.2332,7.7876,Town11,env11,3,?,0.8306
25,1,9,147.0677,23.3886,Town2,env2,1,?,21.8918
26,1,9,147.0677,23.3886,Town2,env2,2,?,0.7430
27,1,9,147.0677,23.3886,Town2,env2,3,?,0.7519
28,1,10,170.5030,6.6085,Town6,env6,1,?,2.7839
29,1,10,170.5030,6.6085,Town6,env6,2,?,0.6241
30,1,10,170.5030,6.6085,Town6,env6,3,?,3.1987
31,1,11,177.1581,5.6428,Town9,env9,1,?,4.0732
32,1,11,177.1581,5.6428,Town9,env9,2,?,0.8157
33,1,11,177.1581,5.6428,Town9,env9,3,?,0.7521
34,1,12,182.8477,3.9919,Town1,env1,1,?,2.2882
35,1,12,182.8477,3.9919,Town1,env1,2,?,0.9435
36,1,12,182.8477,3.9919,Town1,env1,3,?,0.7584
37,2,1,1.0017,29.5983,Town5,env5,1,beyonce,24.3225
38,2,1,1.0017,29.5983,Town5,env5,2,dog,2.3523
39,2,1,1.0017,29.5983,Town5,env5,3,oranges,2.9195
40,2,2,30.6486,11.3755,Town3,env3,1,??,9.3757
41,2,2,30.6486,11.3755,Town3,env3,2,?,1.2146
42,2,2,30.6486,11.3755,Town3,env3,3,?,0.7834
43,2,3,42.0730,9.9119,Town7,env7,1,?,6.1105
44,2,3,42.0730,9.9119,Town7,env7,2,?,1.1595
45,2,3,42.0730,9.9119,Town7,env7,3,?,2.6401
46,2,4,52.0336,13.4358,Town12,env12,1,katy perry,8.8354
47,2,4,52.0336,13.4358,Town12,env12,2,screwdriver,2.8953
48,2,4,52.0336,13.4358,Town12,env12,3,rhino,1.7034
49,2,5,65.5182,19.6284,Town6,env6,1,?,18.1008
50,2,5,65.5182,19.6284,Town6,env6,2,?,0.8299
51,2,5,65.5182,19.6284,Town6,env6,3,/,0.6959
52,2,6,85.1949,5.3842,Town1,env1,1,?,3.2069
53,2,6,85.1949,5.3842,Town1,env1,2,?,1.0553
54,2,6,85.1949,5.3842,Town1,env1,3,?,1.1202
55,2,7,90.6279,10.2839,Town9,env9,1,?,6.5709
56,2,7,90.6279,10.2839,Town9,env9,2,?,0.8317
57,2,7,90.6279,10.2839,Town9,env9,3,?,2.8793
58,2,8,100.9597,17.6498,Town10,env10,1,katy perry,7.4630
59,2,8,100.9597,17.6498,Town10,env10,2,duck,1.1348
60,2,8,100.9597,17.6498,Town10,env10,3,grapes,9.0502
61,2,9,118.6577,15.8085,Town11,env11,1,sherlock,5.7837
62,2,9,118.6577,15.8085,Town11,env11,2,watermelon,2.3598
63,2,9,118.6577,15.8085,Town11,env11,3,scrwdriver,7.6631
64,2,10,134.5150,31.2944,Town2,env2,1,mark zuckerberg,7.9099
65,2,10,134.5150,31.2944,Town2,env2,2,Cucumbers,6.9681
66,2,10,134.5150,31.2944,Town2,env2,3,?,16.4144
67,2,11,165.8578,5.3434,Town8,env8,1,?,3.3271
68,2,11,165.8578,5.3434,Town8,env8,2,?,1.1670
69,2,11,165.8578,5.3434,Town8,env8,3,?,0.8475
70,2,12,171.2492,3.2076,Town4,env4,1,?,1.6877
71,2,12,171.2492,3.2076,Town4,env4,2,?,0.7916
72,2,12,171.2492,3.2076,Town4,env4,3,?,0.7262
73,3,1,1.0014,24.7327,Town7,env7,1,giraffe,9.9389
74,3,1,1.0014,24.7327,Town7,env7,2,drill,4.2964
75,3,1,1.0014,24.7327,Town7,env7,3,?,10.4933
76,3,2,25.7828,41.0365,Town2,env2,1,mark zuckerberg,13.8592
77,3,2,25.7828,41.0365,Town2,env2,2,cucumber,3.8074
78,3,2,25.7828,41.0365,Town2,env2,3,banana,23.3682
79,3,3,66.8670,24.5268,Town11,env11,1,beyonce,16.9656
80,3,3,66.8670,24.5268,Town11,env11,2,oranges,4.3352
81,3,3,66.8670,24.5268,Town11,env11,3,dog,3.2243
82,3,4,91.4417,35.9258,Town12,env12,1,talyor swift,27.6922
83,3,4,91.4417,35.9258,Town12,env12,2,tape measure,6.8878
84,3,4,91.4417,35.9258,Town12,env12,3,horse,1.3441
85,3,5,127.4171,11.3194,Town8,env8,1,?,9.6306
86,3,5,127.4171,11.3194,Town8,env8,2,?,0.9265
87,3,5,127.4171,11.3194,Town8,env8,3,?,0.7606
88,3,6,138.7859,9.6857,Town10,env10,1,grapes,3.5337
89,3,6,138.7859,9.6857,Town10,env10,2,katy perry,4.7756
90,3,6,138.7859,9.6857,Town10,env10,3,duck,1.3746
91,3,7,148.5206,13.1656,Town1,env1,1,?,11.5814
92,3,7,148.5206,13.1656,Town1,env1,2,?,0.8799
93,3,7,148.5206,13.1656,Town1,env1,3,?,0.7026
94,3,8,161.7352,18.7450,Town6,env6,1,alligator,8.9314
95,3,8,161.7352,18.7450,Town6,env6,2,natalie portman,8.7635
96,3,8,161.7352,18.7450,Town6,env6,3,saw,1.0484
97,3,9,180.5291,12.8782,Town3,env3,1,emma watson,7.3029
98,3,9,180.5291,12.8782,Town3,env3,2,rhino,1.9112
99,3,9,180.5291,12.8782,Town3,env3,3,screwdriver,3.6623
100,3,10,193.4563,18.1309,Town5,env5,1,sherlock,4.7838
101,3,10,193.4563,18.1309,Town5,env5,2,watermelon,5.7423
102,3,10,193.4563,18.1309,Town5,env5,3,?,7.6031
103,3,11,211.6352,7.5535,Town9,env9,1,?,6.0405
104,3,11,211.6352,7.5535,Town9,env9,2,?,0.6954
105,3,11,211.6352,7.5535,Town9,env9,3,?,0.8156
106,3,12,219.2374,25.8409,Town4,env4,1,Natalie portman,12.2245
107,3,12,219.2374,25.8409,Town4,env4,2,alligator,9.0790
108,3,12,219.2374,25.8409,Town4,env4,3,saw,4.5356
109,4,1,1.0015,18.6158,Town8,env8,1,beyonce,12.1026
110,4,1,1.0015,18.6158,Town8,env8,2,oranges,5.0619
