index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.0018,49.0996,Town1,env1,1,george clooney,29.5932,face,1
2,1,1,1.0018,49.0996,Town1,env1,2,zebra,13.9176,animal,1
3,1,1,1.0018,49.0996,Town1,env1,3,,5.5847,fruitveg,0
58,2,8,117.7176,30.0878,Town1,env1,1,george clooney,4.9605,face,1
59,2,8,117.7176,30.0878,Town1,env1,2,?,23.8543,animal,0
60,2,8,117.7176,30.0878,Town1,env1,3,?,1.271,fruitveg,0
97,3,9,129.8384,14.6882,Town1,env1,1,george clooney,9.2882,face,1
98,3,9,129.8384,14.6882,Town1,env1,2,zebra,2.9182,animal,1
99,3,9,129.8384,14.6882,Town1,env1,3,lettuce,2.48,fruitveg,1
139,4,11,151.4298,10.2933,Town1,env1,1,george clooney,5.1733,face,1
140,4,11,151.4298,10.2933,Town1,env1,2,zebra,2.7902,animal,1
141,4,11,151.4298,10.2933,Town1,env1,3,lettuce,2.328,fruitveg,1
172,5,10,114.7074,7.4557,Town1,env1,1,george clooney,3.9995,face,1
173,5,10,114.7074,7.4557,Town1,env1,2,zebra,1.135,animal,1
174,5,10,114.7074,7.4557,Town1,env1,3,lettuce,2.3192,fruitveg,1
16,1,6,137.8129,15.1852,Town10,env10,1,?,12.7054,face,0
17,1,6,137.8129,15.1852,Town10,env10,2,?,1.1433,animal,0
18,1,6,137.8129,15.1852,Town10,env10,3,?,1.3348,fruitveg,0
46,2,4,51.8357,7.3767,Town10,env10,1,?,6.1612,face,0
47,2,4,51.8357,7.3767,Town10,env10,2,?,0.6155,animal,0
48,2,4,51.8357,7.3767,Town10,env10,3,?,0.5982,fruitveg,0
76,3,2,14.4083,10.9326,Town10,env10,1,katy perry,8.3477,face,1
77,3,2,14.4083,10.9326,Town10,env10,2,?,2.0071,animal,0
78,3,2,14.4083,10.9326,Town10,env10,3,?,0.576,fruitveg,0
133,4,9,135.4049,7.83,Town10,env10,1,katy perry,6.134,face,1
134,4,9,135.4049,7.83,Town10,env10,2,?,1.0945,animal,0
135,4,9,135.4049,7.83,Town10,env10,3,?,0.5996,fruitveg,0
178,5,12,140.631,16.7504,Town10,env10,1,katy perry,5.3505,face,1
179,5,12,140.631,16.7504,Town10,env10,2,?,10.8945,animal,0
180,5,12,140.631,16.7504,Town10,env10,3,?,0.5037,fruitveg,0
28,1,10,197.5877,14.723,Town11,env11,1,?,12.6278,face,0
29,1,10,197.5877,14.723,Town11,env11,2,?,1.0706,fruitveg,0
30,1,10,197.5877,14.723,Town11,env11,3,?,1.0227,tool,0
49,2,5,59.2581,6.9223,Town11,env11,1,?,3.8585,face,0
50,2,5,59.2581,6.9223,Town11,env11,2,?,2.4074,fruitveg,0
51,2,5,59.2581,6.9223,Town11,env11,3,?,0.6547,tool,0
106,3,12,190.4912,16.2475,Town11,env11,1,johnny depp,8.2762,face,1
107,3,12,190.4912,16.2475,Town11,env11,2,?,7.1307,fruitveg,0
108,3,12,190.4912,16.2475,Town11,env11,3,?,0.8389,tool,0
112,4,2,15.4844,13.1337,Town11,env11,1,johnny depp,8.6128,face,1
113,4,2,15.4844,13.1337,Town11,env11,2,mellon,1.8001,fruitveg,0
114,4,2,15.4844,13.1337,Town11,env11,3,?,2.719,tool,0
169,5,9,101.1311,13.5359,Town11,env11,1,?,12.3428,face,0
170,5,9,101.1311,13.5359,Town11,env11,2,?,0.6073,fruitveg,0
171,5,9,101.1311,13.5359,Town11,env11,3,?,0.5839,tool,0
19,1,7,153.0444,25.338,Town12,env12,1,stapler,8.8731,tool,1
20,1,7,153.0444,25.338,Town12,env12,2,zoey deschanel,10.1836,face,1
21,1,7,153.0444,25.338,Town12,env12,3,apple,6.2794,fruitveg,1
37,2,1,1.0016,24.4696,Town12,env12,1,stapler,10.9947,tool,1
38,2,1,1.0016,24.4696,Town12,env12,2,zoey dechanel,10.5999,face,1
39,2,1,1.0016,24.4696,Town12,env12,3,apple,2.871,fruitveg,1
82,3,4,35.4213,23.9874,Town12,env12,1,stapler,6.0126,tool,1
83,3,4,35.4213,23.9874,Town12,env12,2,apple,1.0546,fruitveg,1
84,3,4,35.4213,23.9874,Town12,env12,3,zoey dechanel,16.9184,face,1
127,4,7,105.6319,14.168,Town12,env12,1,zoey dechanel,8.9113,face,1
128,4,7,105.6319,14.168,Town12,env12,2,stapler,3.838,tool,1
129,4,7,105.6319,14.168,Town12,env12,3,apple,1.4166,fruitveg,1
160,5,6,72.0438,10.686,Town12,env12,1,zooey dechanel,5.438,face,1
161,5,6,72.0438,10.686,Town12,env12,2,stapler,4.2068,tool,1
162,5,6,72.0438,10.686,Town12,env12,3,apple,1.0395,fruitveg,1
25,1,9,188.8594,8.6815,Town2,env2,1,,3.4336,face,0
26,1,9,188.8594,8.6815,Town2,env2,2,?,3.463,fruitveg,0
27,1,9,188.8594,8.6815,Town2,env2,3,?,1.7832,tool,0
43,2,3,34.7882,17.0013,Town2,env2,1,mark zucherburg,12.0641,face,1
44,2,3,34.7882,17.0013,Town2,env2,2,cucumber,2.3671,fruitveg,1
45,2,3,34.7882,17.0013,Town2,env2,3,?,2.5682,tool,0
85,3,5,59.451,13.4934,Town2,env2,1,mark zucherburg,5.27,face,1
86,3,5,59.451,13.4934,Town2,env2,2,cucumber,2.6942,fruitveg,1
87,3,5,59.451,13.4934,Town2,env2,3,?,5.5274,tool,0
115,4,3,28.6674,9.9822,Town2,env2,1,mark zuckerburg,5.7493,face,1
116,4,3,28.6674,9.9822,Town2,env2,2,cucumber,2.3847,fruitveg,1
117,4,3,28.6674,9.9822,Town2,env2,3,scissors,1.8464,tool,1
145,5,1,1.0025,12.8932,Town2,env2,1,mark zucherburg,6.243,face,1
146,5,1,1.0025,12.8932,Town2,env2,2,cucumber,4.7183,fruitveg,1
147,5,1,1.0025,12.8932,Town2,env2,3,scissors,1.9281,tool,1
10,1,4,107.2061,12.3347,Town3,env3,1,?,10.0937,face,0
11,1,4,107.2061,12.3347,Town3,env3,2,?,0.8703,animal,0
12,1,4,107.2061,12.3347,Town3,env3,3,?,1.3688,tool,0
64,2,10,153.5008,27.0049,Town3,env3,1,?,25.6454,face,0
65,2,10,153.5008,27.0049,Town3,env3,2,?,0.7989,animal,0
66,2,10,153.5008,27.0049,Town3,env3,3,?,0.5587,tool,0
91,3,7,94.3892,18.0897,Town3,env3,1,emma watson,10.8078,face,1
92,3,7,94.3892,18.0897,Town3,env3,2,bear,4.3608,animal,1
93,3,7,94.3892,18.0897,Town3,env3,3,?,2.9192,tool,0
109,4,1,1.0021,14.4328,Town3,env3,1,bear,10.6144,animal,1
110,4,1,1.0021,14.4328,Town3,env3,2,emma watson,2.0711,face,1
111,4,1,1.0021,14.4328,Town3,env3,3,screwdriver,1.743,tool,1
166,5,8,89.3311,11.7589,Town3,env3,1,bear,6.3431,animal,1
167,5,8,89.3311,11.7589,Town3,env3,2,emma watson,2.5178,face,1
168,5,8,89.3311,11.7589,Town3,env3,3,?,2.8962,tool,0
4,1,2,50.148,26.7723,Town4,env4,1,?,24.6836,face,0
5,1,2,50.148,26.7723,Town4,env4,2,?,1.4158,animal,0
6,1,2,50.148,26.7723,Town4,env4,3,?,0.6712,tool,0
52,2,6,66.2263,24.5873,Town4,env4,1,emma watson,19.4741,face,0
53,2,6,66.2263,24.5873,Town4,env4,2,bear,1.2635,animal,0
54,2,6,66.2263,24.5873,Town4,env4,3,?,3.8478,tool,0
100,3,10,144.5689,12.4777,Town4,env4,1,?,10.7012,face,0
101,3,10,144.5689,12.4777,Town4,env4,2,?,0.7927,animal,0
102,3,10,144.5689,12.4777,Town4,env4,3,?,0.982,tool,0
121,4,5,71.5029,20.344,Town4,env4,1,?,19.231,face,0
122,4,5,71.5029,20.344,Town4,env4,2,?,0.5364,animal,0
123,4,5,71.5029,20.344,Town4,env4,3,?,0.5749,tool,0
148,5,2,13.9366,20.6493,Town4,env4,1,saw,10.4399,tool,1
149,5,2,13.9366,20.6493,Town4,env4,2,alligator,1.5028,animal,1
150,5,2,13.9366,20.6493,Town4,env4,3,natalie portman,8.7047,face,1
7,1,3,76.9666,30.1928,Town5,env5,1,grapes,14.1788,fruitveg,0
8,1,3,76.9666,30.1928,Town5,env5,2,?,12.9659,animal,0
9,1,3,76.9666,30.1928,Town5,env5,3,beyonce,3.0464,face,0
40,2,2,25.518,9.2242,Town5,env5,1,?,7.8168,face,0
41,2,2,25.518,9.2242,Town5,env5,2,?,0.7196,animal,0
42,2,2,25.518,9.2242,Town5,env5,3,?,0.686,fruitveg,0
103,3,11,157.0884,33.3601,Town5,env5,1,?,32.1922,face,0
104,3,11,157.0884,33.3601,Town5,env5,2,?,0.5985,animal,0
105,3,11,157.0884,33.3601,Town5,env5,3,?,0.5676,fruitveg,0
118,4,4,38.6992,32.7545,Town5,env5,1,bennidict cumberbach,18.546,face,1
119,4,4,38.6992,32.7545,Town5,env5,2,carrot,6.3587,fruitveg,0
120,4,4,38.6992,32.7545,Town5,env5,3,flamingo,7.8478,animal,1
154,5,4,43.1646,12.5102,Town5,env5,1,johnny depp,9.629,face,0
155,5,4,43.1646,12.5102,Town5,env5,2,?,2.3847,animal,0
156,5,4,43.1646,12.5102,Town5,env5,3,?,0.4946,fruitveg,0
34,1,12,226.8252,23.0496,Town6,env6,1,cow,8.2997,animal,1
35,1,12,226.8252,23.0496,Town6,env6,2,jim parsons,10.1515,face,0
36,1,12,226.8252,23.0496,Town6,env6,3,?,4.5966,tool,0
70,2,12,185.1536,16.2577,Town6,env6,1,cow,2.6878,animal,1
71,2,12,185.1536,16.2577,Town6,env6,2,taylor swift,9.9933,face,1
72,2,12,185.1536,16.2577,Town6,env6,3,screwdriver,3.5748,tool,0
79,3,3,25.3821,9.9976,Town6,env6,1,cow,3.3013,animal,1
80,3,3,25.3821,9.9976,Town6,env6,2,taylor swift,3.8715,face,1
81,3,3,25.3821,9.9976,Town6,env6,3,?,2.823,tool,0
136,4,10,143.2855,8.0939,Town6,env6,1,cow,2.133,animal,1
137,4,10,143.2855,8.0939,Town6,env6,2,taylor swift,2.1838,face,1
138,4,10,143.2855,8.0939,Town6,env6,3,?,3.7752,tool,0
163,5,7,82.7709,6.5197,Town6,env6,1,cow,2.0713,animal,1
164,5,7,82.7709,6.5197,Town6,env6,2,taylor swift,2.3185,face,1
165,5,7,82.7709,6.5197,Town6,env6,3,?,2.1281,tool,0
31,1,11,212.357,14.4215,Town7,env7,1,?,12.7003,face,0
32,1,11,212.357,14.4215,Town7,env7,2,?,0.9588,animal,0
33,1,11,212.357,14.4215,Town7,env7,3,?,0.7598,tool,0
67,2,11,180.5522,4.5551,Town7,env7,1,?,3.3935,face,0
68,2,11,180.5522,4.5551,Town7,env7,2,?,0.576,animal,0
69,2,11,180.5522,4.5551,Town7,env7,3,?,0.5836,tool,0
94,3,8,112.5214,17.2752,Town7,env7,1,sheldon cooper,7.6263,face,0
95,3,8,112.5214,17.2752,Town7,env7,2,power drill,6.6154,tool,1
96,3,8,112.5214,17.2752,Town7,env7,3,?,3.0315,animal,0
130,4,8,119.8504,15.5052,Town7,env7,1,sheldon cooper,9.5355,face,0
131,4,8,119.8504,15.5052,Town7,env7,2,power drill,4.6316,tool,1
132,4,8,119.8504,15.5052,Town7,env7,3,?,1.3363,animal,0
175,5,11,122.204,18.3865,Town7,env7,1,?,16.5294,face,0
176,5,11,122.204,18.3865,Town7,env7,2,?,1.3045,animal,0
177,5,11,122.204,18.3865,Town7,env7,3,?,0.5509,tool,0
13,1,5,119.587,18.1799,Town8,env8,1,puppy,3.537,animal,1
14,1,5,119.587,18.1799,Town8,env8,2,?,13.7854,face,0
15,1,5,119.587,18.1799,Town8,env8,3,?,0.8555,fruitveg,0
55,2,7,90.8604,26.8111,Town8,env8,1,puppy,3.0328,animal,1
56,2,7,90.8604,26.8111,Town8,env8,2,jim parsos,19.6731,face,0
57,2,7,90.8604,26.8111,Town8,env8,3,?,4.1033,fruitveg,0
73,3,1,1.0021,13.3633,Town8,env8,1,beyonce,10.2654,face,1
74,3,1,1.0021,13.3633,Town8,env8,2,puppy,1.7897,animal,1
75,3,1,1.0021,13.3633,Town8,env8,3,oranges,1.3044,fruitveg,1
142,4,12,161.7729,8.023,Town8,env8,1,puppy,2.9575,animal,1
143,4,12,161.7729,8.023,Town8,env8,2,beyonce,1.1997,face,1
144,4,12,161.7729,8.023,Town8,env8,3,oranges,3.8639,fruitveg,1
151,5,3,34.6265,8.4965,Town8,env8,1,puppy,3.7031,animal,1
152,5,3,34.6265,8.4965,Town8,env8,2,beyonce,2.8314,face,1
153,5,3,34.6265,8.4965,Town8,env8,3,oranges,1.9595,fruitveg,1
22,1,8,178.4285,10.3851,Town9,env9,1,?,8.8,face,0
