index,run,trial,onset,duration,town,pic,itemNum,resp,respRT
1,1,1,1.0011,115.9168,Town2,env2,1,Mark Zuckerberg,75.5284
2,1,1,1.0011,115.9168,Town2,env2,2,screwdriver,22.8292
3,1,1,1.0011,115.9168,Town2,env2,3,?,17.5550
4,1,2,116.9586,42.3775,Town10,env10,1,Johnny Depp,34.6966
5,1,2,116.9586,42.3775,Town10,env10,2,Power drill,4.1842
6,1,2,116.9586,42.3775,Town10,env10,3,Giraffe,3.4946
7,1,3,159.3774,59.7607,Town7,env7,1,saw,55.2481
8,1,3,159.3774,59.7607,Town7,env7,2,George Clooney,3.8392
9,1,3,159.3774,59.7607,Town7,env7,3,?,0.6716
10,1,4,219.1795,37.1687,Town4,env4,1,Emma Watson,19.8933
11,1,4,219.1795,37.1687,Town4,env4,2,bear,16.4504
12,1,4,219.1795,37.1687,Town4,env4,3,?,0.8233
13,1,5,256.3889,26.1781,Town3,env3,1,bear,10.6425
14,1,5,256.3889,26.1781,Town3,env3,2,Katy Perry,14.9103
15,1,5,256.3889,26.1781,Town3,env3,3,?,0.6236
16,1,6,282.6079,15.2622,Town6,env6,1,?,14.1160
17,1,6,282.6079,15.2622,Town6,env6,2,?,0.5769
18,1,6,282.6079,15.2622,Town6,env6,3,?,0.5675
19,1,7,297.9106,40.2848,Town5,env5,1,Paul McCarthy,10.4750
20,1,7,297.9106,40.2848,Town5,env5,2,carrot,28.7692
21,1,7,297.9106,40.2848,Town5,env5,3,hammer,1.0388
22,1,8,338.2360,53.9152,Town9,env9,1,?,52.4276
23,1,8,338.2360,53.9152,Town9,env9,2,?,0.7821
24,1,8,338.2360,53.9152,Town9,env9,3,?,0.7038
25,1,9,392.1926,47.9971,Town8,env8,1,?,47.0851
26,1,9,392.1926,47.9971,Town8,env8,2,?,0.4553
27,1,9,392.1926,47.9971,Town8,env8,3,?,0.4546
28,1,10,440.2312,8.7989,Town11,env11,1,Grapes,3.5974
29,1,10,440.2312,8.7989,Town11,env11,2,Beyonce,1.5036
30,1,10,440.2312,8.7989,Town11,env11,3,Hammer,3.6962
31,1,11,449.0708,37.7484,Town1,env1,1,Puppy,35.2840
32,1,11,449.0708,37.7484,Town1,env1,2,?,1.8469
33,1,11,449.0708,37.7484,Town1,env1,3,?,0.6157
34,1,12,486.8599,37.1910,Town12,env12,1,Zoey,13.4831
35,1,12,486.8599,37.1910,Town12,env12,2,Scissors,15.5950
36,1,12,486.8599,37.1910,Town12,env12,3,?,8.1112
37,2,1,1.0011,15.4541,Town8,env8,1,Beyonce,8.1559
38,2,1,1.0011,15.4541,Town8,env8,2,Orange,2.4791
39,2,1,1.0011,15.4541,Town8,env8,3,Dog,4.8150
40,2,2,16.5116,26.7286,Town5,env5,1,Benedict Cumberbatch,22.2226
41,2,2,16.5116,26.7286,Town5,env5,2,Flamingo,2.7444
42,2,2,16.5116,26.7286,Town5,env5,3,Watermelon,1.7595
43,2,3,43.2965,80.4795,Town6,env6,1,Katy Perry,19.4727
44,2,3,43.2965,80.4795,Town6,env6,2,Bear,41.9758
45,2,3,43.2965,80.4795,Town6,env6,3,Screwdriver,19.0292
46,2,4,123.8317,13.0172,Town10,env10,1,Katy Perry,6.2012
47,2,4,123.8317,13.0172,Town10,env10,2,Bear,0.9743
48,2,4,123.8317,13.0172,Town10,env10,3,Screwdriver,5.8398
49,2,5,136.9043,43.0467,Town4,env4,1,Alligator,19.3325
50,2,5,136.9043,43.0467,Town4,env4,2,Natalie Portman,15.3081
51,2,5,136.9043,43.0467,Town4,env4,3,Saw,8.4043
52,2,6,180.0070,13.0003,Town11,env11,1,Johnny Depp,5.2800
53,2,6,180.0070,13.0003,Town11,env11,2,Hammer,6.5281
54,2,6,180.0070,13.0003,Town11,env11,3,Carrots,1.1903
55,2,7,193.0624,5.6503,Town12,env12,1,Zoey,2.9841
56,2,7,193.0624,5.6503,Town12,env12,2,Stapler,1.8484
57,2,7,193.0624,5.6503,Town12,env12,3,Apple,0.8159
58,2,8,198.7687,27.7018,Town7,env7,1,Paul McCarthy,16.5624
59,2,8,198.7687,27.7018,Town7,env7,2,Bananas,9.8574
60,2,8,198.7687,27.7018,Town7,env7,3,?,1.2801
61,2,9,226.5263,13.4426,Town9,env9,1,Paul McCarthy,4.4142
62,2,9,226.5263,13.4426,Town9,env9,2,Bananas,1.7193
63,2,9,226.5263,13.4426,Town9,env9,3,?,7.3073
64,2,10,240.0246,91.5807,Town3,env3,1,George Clooney,51.1598
65,2,10,240.0246,91.5807,Town3,env3,2,?,39.9709
66,2,10,240.0246,91.5807,Town3,env3,3,?,0.4482
67,2,11,331.6616,8.7876,Town1,env1,1,?,7.7074
68,2,11,331.6616,8.7876,Town1,env1,2,?,0.5659
69,2,11,331.6616,8.7876,Town1,env1,3,?,0.5125
70,2,12,340.5048,18.7717,Town2,env2,1,Jim Parsons,13.0507
71,2,12,340.5048,18.7717,Town2,env2,2,Giraffe,2.5430
72,2,12,340.5048,18.7717,Town2,env2,3,Power drill,3.1761
73,3,1,1.0013,10.2868,Town10,env10,1,Katy Perry,5.5580
74,3,1,1.0013,10.2868,Town10,env10,2,duck,3.2136
75,3,1,1.0013,10.2868,Town10,env10,3,grapes,1.5111
76,3,2,11.3302,13.9815,Town9,env9,1,bananas,7.6219
77,3,2,11.3302,13.9815,Town9,env9,2,Paul McCarthy,4.4542
78,3,2,11.3302,13.9815,Town9,env9,3,wrench,1.9037
79,3,3,25.3547,8.1569,Town7,env7,1,Jim Parsons,4.7562
80,3,3,25.3547,8.1569,Town7,env7,2,giraffe,1.7036
81,3,3,25.3547,8.1569,Town7,env7,3,power drill,1.6954
82,3,4,33.5536,12.3743,Town3,env3,1,Taylor Swift,8.1332
83,3,4,33.5536,12.3743,Town3,env3,2,cow,1.9049
84,3,4,33.5536,12.3743,Town3,env3,3,tape measure,2.3344
85,3,5,45.9699,12.5100,Town1,env1,1,George Clooney,7.1743
86,3,5,45.9699,12.5100,Town1,env1,2,lettuce,3.2873
87,3,5,45.9699,12.5100,Town1,env1,3,zebra,2.0465
88,3,6,58.5216,18.6468,Town4,env4,1,Natalie Portman,9.1892
89,3,6,58.5216,18.6468,Town4,env4,2,hand saw,5.1610
90,3,6,58.5216,18.6468,Town4,env4,3,alligator,4.2948
91,3,7,77.2104,104.3908,Town6,env6,1,Jim Parsons,100.6217
92,3,7,77.2104,104.3908,Town6,env6,2,giraffe,1.6084
93,3,7,77.2104,104.3908,Town6,env6,3,power drill,2.1589
94,3,8,181.6436,15.4860,Town5,env5,1,Benedict Cumberbatch,9.0062
95,3,8,181.6436,15.4860,Town5,env5,2,watermelon,4.0457
96,3,8,181.6436,15.4860,Town5,env5,3,flamingos,2.4324
97,3,9,197.1720,8.8611,Town8,env8,1,Beyonce,2.4853
98,3,9,197.1720,8.8611,Town8,env8,2,Dog,3.0716
99,3,9,197.1720,8.8611,Town8,env8,3,oranges,3.3024
100,3,10,206.0747,7.1675,Town12,env12,1,Zoey,4.1901
101,3,10,206.0747,7.1675,Town12,env12,2,stapler,2.2722
102,3,10,206.0747,7.1675,Town12,env12,3,apple,0.7032
103,3,11,213.2844,12.4381,Town2,env2,1,Mark Zuckerberg,7.2997
104,3,11,213.2844,12.4381,Town2,env2,2,cucumber,3.5518
105,3,11,213.2844,12.4381,Town2,env2,3,scissors,1.5846
106,3,12,225.7659,9.0115,Town11,env11,1,Johnny Depp,6.0671
107,3,12,225.7659,9.0115,Town11,env11,2,carrot,2.0875
108,3,12,225.7659,9.0115,Town11,env11,3,hammer,0.8552
109,4,1,1.0023,11.9736,Town2,env2,1,Mark Zuckerberg,8.0106
110,4,1,1.0023,11.9736,Town2,env2,2,cucumber,2.7118
111,4,1,1.0023,11.9736,Town2,env2,3,scissors,1.2471
112,4,2,13.0175,15.3822,Town5,env5,1,Benedict Cumberbach,9.3493
113,4,2,13.0175,15.3822,Town5,env5,2,watermelon,3.8468
114,4,2,13.0175,15.3822,Town5,env5,3,flamingo,2.1844
115,4,3,28.4407,7.8231,Town8,env8,1,oranges,4.0229
116,4,3,28.4407,7.8231,Town8,env8,2,Beyonce,1.9263
117,4,3,28.4407,7.8231,Town8,env8,3,dog,1.8721
118,4,4,36.3045,7.1672,Town12,env12,1,Zoey,3.5265
119,4,4,36.3045,7.1672,Town12,env12,2,apple,1.3105
120,4,4,36.3045,7.1672,Town12,env12,3,stapler,2.3284
121,4,5,43.5124,13.8475,Town4,env4,1,Natalie Portman,4.4863
122,4,5,43.5124,13.8475,Town4,env4,2,hand saw,4.6158
123,4,5,43.5124,13.8475,Town4,env4,3,alligator,4.7435
124,4,6,57.4003,8.3919,Town7,env7,1,Jim Parsons,4.2936
125,4,6,57.4003,8.3919,Town7,env7,2,giraffe,1.7199
126,4,6,57.4003,8.3919,Town7,env7,3,hand drill,2.3765
127,4,7,65.8342,22.6140,Town3,env3,1,Emma Watson,13.1324
128,4,7,65.8342,22.6140,Town3,env3,2,cow,7.3033
129,4,7,65.8342,22.6140,Town3,env3,3,screwdriver,2.1765
130,4,8,88.4893,8.3109,Town11,env11,1,Johnny Depp,3.8208
131,4,8,88.4893,8.3109,Town11,env11,2,carrot,3.4327
132,4,8,88.4893,8.3109,Town11,env11,3,hammer,1.0554
133,4,9,96.8415,7.1095,Town1,env1,1,lettuce,2.9486
134,4,9,96.8415,7.1095,Town1,env1,2,George Clooney,2.8809
135,4,9,96.8415,7.1095,Town1,env1,3,zebra,1.2783
136,4,10,103.9923,11.8865,Town6,env6,1,Taylor Swift,9.0388
137,4,10,103.9923,11.8865,Town6,env6,2,tape measure,2.3594
138,4,10,103.9923,11.8865,Town6,env6,3,cow,0.4865
139,4,11,115.9195,13.4803,Town9,env9,1,bananas,5.2154
140,4,11,115.9195,13.4803,Town9,env9,2,Paul McCarthy,4.2791
141,4,11,115.9195,13.4803,Town9,env9,3,wrench,3.9839
142,4,12,129.4414,9.1824,Town10,env10,1,Katy Perry,5.7810
143,4,12,129.4414,9.1824,Town10,env10,2,duck,2.1202
144,4,12,129.4414,9.1824,Town10,env10,3,grapes,1.2794
145,5,1,1.0020,9.6292,Town10,env10,1,Katy Perry,6.7080
146,5,1,1.0020,9.6292,Town10,env10,2,duck,1.6218
147,5,1,1.0020,9.6292,Town10,env10,3,grapes,1.2954
148,5,2,10.6809,10.2697,Town5,env5,1,Benedict Cumberbatch,6.8533
149,5,2,10.6809,10.2697,Town5,env5,2,watermelon,2.0961
150,5,2,10.6809,10.2697,Town5,env5,3,flamingo,1.3184
151,5,3,20.9997,11.2107,Town2,env2,1,Mark Zuckerberg,7.5545
152,5,3,20.9997,11.2107,Town2,env2,2,cucumber,2.4392
153,5,3,20.9997,11.2107,Town2,env2,3,scissors,1.2153
154,5,4,32.2602,21.3656,Town9,env9,1,bananas,9.2947
155,5,4,32.2602,21.3656,Town9,env9,2,Johnny Depp,10.4537
156,5,4,32.2602,21.3656,Town9,env9,3,hammer,1.6155
157,5,5,53.6747,8.8318,Town12,env12,1,Zooey,5.7592
158,5,5,53.6747,8.8318,Town12,env12,2,stapler,2.2396
159,5,5,53.6747,8.8318,Town12,env12,3,apple,0.8312
160,5,6,62.5560,19.1492,Town3,env3,1,bear,12.3001
161,5,6,62.5560,19.1492,Town3,env3,2,Emma Watson,3.8238
162,5,6,62.5560,19.1492,Town3,env3,3,screwdriver,3.0230
163,5,7,81.7543,64.7532,Town6,env6,1,Taylor Swift,9.0963
164,5,7,81.7543,64.7532,Town6,env6,2,tape measure,4.1348
165,5,7,81.7543,64.7532,Town6,env6,3,?,51.5204
166,5,8,146.5569,32.8436,Town4,env4,1,hand saw,4.9340
167,5,8,146.5569,32.8436,Town4,env4,2,alligator,8.6926
168,5,8,146.5569,32.8436,Town4,env4,3,Natalie Portman,19.2150
169,5,9,179.4501,9.3418,Town1,env1,1,lettuce,4.2205
170,5,9,179.4501,9.3418,Town1,env1,2,George Clooney,3.3209
171,5,9,179.4501,9.3418,Town1,env1,3,zebra,1.7986
172,5,10,188.8416,10.9421,Town7,env7,1,Jim Parsons,6.0620
173,5,10,188.8416,10.9421,Town7,env7,2,giraffe,2.2388
174,5,10,188.8416,10.9421,Town7,env7,3,power drill,2.6395
175,5,11,199.8330,36.8056,Town11,env11,1,Johnny Depp,31.7977
176,5,11,199.8330,36.8056,Town11,env11,2,hammer,3.8874
177,5,11,199.8330,36.8056,Town11,env11,3,carrot,1.1187
178,5,12,236.6886,4.9839,Town8,env8,1,Beyonce,2.7909
179,5,12,236.6886,4.9839,Town8,env8,2,oranges,1.4706
180,5,12,236.6886,4.9839,Town8,env8,3,dog,0.7204
