index	block	miniblock	category	rep	imgID	imgFile
1	1	1	face	0	face63	WWmale22-2neutral.jpg
2	1	1	face	0	face70	WWmale23-5neutral.jpg
3	1	1	face	0	face50	WWfemale22-5neutral.jpg
4	1	1	face	1	face50	WWfemale22-5neutral.jpg
5	1	1	face	0	face46	WWfemale21neutral.jpg
6	1	1	face	0	face9	TMWfemale21-2neutral.jpg
7	1	1	face	0	face23	TMWmale22-3neutral.jpg
8	1	1	face	1	face23	TMWmale22-3neutral.jpg
9	1	1	face	0	face65	WWmale22-4neutral.jpg
10	1	1	face	1	face65	WWmale22-4neutral.jpg
11	1	0	rest	0	rest	rest
12	1	2	virtualtown	0	virtualtown31	vid_0390.jpg
13	1	2	virtualtown	0	virtualtown28	vid_0106.jpg
14	1	2	virtualtown	1	virtualtown28	vid_0106.jpg
15	1	2	virtualtown	0	virtualtown27	vid_0057.jpg
16	1	2	virtualtown	1	virtualtown27	vid_0057.jpg
17	1	2	virtualtown	0	virtualtown19	vid_0976.jpg
18	1	2	virtualtown	0	virtualtown56	vid_0179.jpg
19	1	2	virtualtown	0	virtualtown2	vid_0111.jpg
20	1	2	virtualtown	0	virtualtown64	vid_1315.jpg
21	1	2	virtualtown	1	virtualtown64	vid_1315.jpg
22	1	0	rest	0	rest	rest
23	1	3	tool	0	tool4	0.60_Acombination8.jpg
24	1	3	tool	0	tool50	Abucket176.jpg
25	1	3	tool	0	tool79	ASCALE1.jpg
26	1	3	tool	1	tool79	ASCALE1.jpg
27	1	3	tool	0	tool56	41K7QVRX50L._SS500_.jpg
28	1	3	tool	1	tool56	41K7QVRX50L._SS500_.jpg
29	1	3	tool	0	tool26	Acanopener4.jpg
30	1	3	tool	0	tool35	B_handset.jpg
31	1	3	tool	1	tool35	B_handset.jpg
32	1	3	tool	0	tool23	Abell44.jpg
33	1	0	rest	0	rest	rest
34	1	4	tool	0	tool39	22850592.thl.jpg
35	1	4	tool	0	tool47	Abowl54.jpg
36	1	4	tool	1	tool47	Abowl54.jpg
37	1	4	tool	0	tool12	0.99_ASCOTAPE.jpg
38	1	4	tool	0	tool18	power-drill.jpg
39	1	4	tool	0	tool36	knife01.jpg
40	1	4	tool	1	tool36	knife01.jpg
41	1	4	tool	0	tool54	porcelain-cookware.jpg
42	1	4	tool	0	tool31	Apaperclip3.jpg
43	1	4	tool	1	tool31	Apaperclip3.jpg
44	1	0	rest	0	rest	rest
45	1	5	face	0	face35	TSFWfemale52neutral.jpg
46	1	5	face	0	face27	TSFWfemale26neutral.jpg
47	1	5	face	1	face27	TSFWfemale26neutral.jpg
48	1	5	face	0	face19	TMWfemale25neutral.jpg
49	1	5	face	0	face60	WWmale21-3neutral.jpg
