index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
10,1,4,117.0159,35.9731,Town1,env1,1,bananas,19.9065,fruitveg,0
11,1,4,117.0159,35.9731,Town1,env1,2,?,15.5059,animal,0
12,1,4,117.0159,35.9731,Town1,env1,3,?,0.559,face,0
37,2,1,1.0022,14.6155,Town1,env1,1,?,13.0134,face,0
38,2,1,1.0022,14.6155,Town1,env1,2,?,0.6696,animal,0
39,2,1,1.0022,14.6155,Town1,env1,3,?,0.9286,fruitveg,0
88,3,6,89.165,28.7207,Town1,env1,1,george clooney,19.2133,face,1
89,3,6,89.165,28.7207,Town1,env1,2,zebra,8.1939,animal,1
90,3,6,89.165,28.7207,Town1,env1,3,?,1.3117,fruitveg,0
112,4,2,26.1256,15.7818,Town1,env1,1,clooney,10.2209,face,1
113,4,2,26.1256,15.7818,Town1,env1,2,zebra,3.9995,animal,1
114,4,2,26.1256,15.7818,Town1,env1,3,?,1.5597,fruitveg,0
178,5,12,108.3545,8.7503,Town1,env1,1,?,7.9579,face,0
179,5,12,108.3545,8.7503,Town1,env1,2,?,0.4154,animal,0
180,5,12,108.3545,8.7503,Town1,env1,3,?,0.375,fruitveg,0
31,1,11,320.0877,20.606,Town10,env10,1,grapes,12.3832,fruitveg,1
32,1,11,320.0877,20.606,Town10,env10,2,?,7.7575,animal,0
33,1,11,320.0877,20.606,Town10,env10,3,?,0.4636,face,0
58,2,8,138.4593,24.7572,Town10,env10,1,grapes,12.5249,fruitveg,1
59,2,8,138.4593,24.7572,Town10,env10,2,duck,9.1849,animal,1
60,2,8,138.4593,24.7572,Town10,env10,3,?,3.0454,face,0
91,3,7,117.9324,26.9254,Town10,env10,1,grapes,9.5019,fruitveg,1
92,3,7,117.9324,26.9254,Town10,env10,2,katy perry,16.5746,face,1
93,3,7,117.9324,26.9254,Town10,env10,3,duck,0.8467,animal,1
121,4,5,66.2757,14.2861,Town10,env10,1,katy perry,10.7399,face,1
122,4,5,66.2757,14.2861,Town10,env10,2,grapes,2.7278,fruitveg,1
123,4,5,66.2757,14.2861,Town10,env10,3,duck,0.8164,animal,1
172,5,10,83.2113,13.6149,Town10,env10,1,katy perry,9.0785,face,1
173,5,10,83.2113,13.6149,Town10,env10,2,grapes,2.6562,fruitveg,1
174,5,10,83.2113,13.6149,Town10,env10,3,?,1.8783,animal,0
13,1,5,153.0303,22.0058,Town11,env11,1,carrots,14.9727,fruitveg,1
14,1,5,153.0303,22.0058,Town11,env11,2,hammer,3.8781,tool,1
15,1,5,153.0303,22.0058,Town11,env11,3,johnny depp,3.1531,face,1
70,2,12,210.4783,16.8674,Town11,env11,1,carrot,8.3324,fruitveg,1
71,2,12,210.4783,16.8674,Town11,env11,2,johnny depp,7.4929,face,1
72,2,12,210.4783,16.8674,Town11,env11,3,hammer,1.0403,tool,1
