index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
85,3,5,54.2385,10.5978,Town4,env4,1,natalie portman,4.5723,face,1
86,3,5,54.2385,10.5978,Town4,env4,2,saw,3.0007,tool,1
87,3,5,54.2385,10.5978,Town4,env4,3,crocodile,3.0229,animal,1
88,3,6,64.8786,5.9509,Town8,env8,1,beyonce,2.3015,face,1
89,3,6,64.8786,5.9509,Town8,env8,2,dog,1.2226,animal,1
90,3,6,64.8786,5.9509,Town8,env8,3,oranges,2.4246,fruitveg,1
91,3,7,70.872,9.3886,Town9,env9,1,paul mccartney,4.1227,face,1
92,3,7,70.872,9.3886,Town9,env9,2,bananas,3.0076,fruitveg,1
93,3,7,70.872,9.3886,Town9,env9,3,wrench,2.2566,tool,1
94,3,8,80.3024,10.757,Town3,env3,1,emma watson,4.3165,face,1
95,3,8,80.3024,10.757,Town3,env3,2,bear,1.0726,animal,1
96,3,8,80.3024,10.757,Town3,env3,3,screwdriver,5.366,tool,1
97,3,9,91.1036,12.6869,Town2,env2,1,zuckerberg,7.9268,face,1
98,3,9,91.1036,12.6869,Town2,env2,2,cucumber,3.2714,fruitveg,1
99,3,9,91.1036,12.6869,Town2,env2,3,scissors,1.4869,tool,1
100,3,10,103.8323,8.0471,Town1,env1,1,lettuce,4.7499,fruitveg,1
101,3,10,103.8323,8.0471,Town1,env1,2,zebra,1.8163,animal,1
102,3,10,103.8323,8.0471,Town1,env1,3,clooney,1.479,face,1
103,3,11,111.921,10.7026,Town12,env12,1,zooey deschanel,5.5014,face,1
104,3,11,111.921,10.7026,Town12,env12,2,stapler,3.7509,tool,1
105,3,11,111.921,10.7026,Town12,env12,3,apple,1.4484,fruitveg,1
106,3,12,122.6652,13.1242,Town11,env11,1,depp,3.0699,face,1
107,3,12,122.6652,13.1242,Town11,env11,2,carrot,2.03,fruitveg,1
108,3,12,122.6652,13.1242,Town11,env11,3,hammer,8.0222,tool,1
109,4,1,1.0017,10.136,Town9,env9,1,paul mccartney,5.3497,face,1
110,4,1,1.0017,10.136,Town9,env9,2,bananas,2.7338,fruitveg,1
111,4,1,1.0017,10.136,Town9,env9,3,wrench,2.0484,tool,1
