index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
22,1,8,311.727,28.6364,Town1,env1,1,George Clooney,18.7713,face,1
23,1,8,311.727,28.6364,Town1,env1,2,Zeebra,3.4951,animal,1
24,1,8,311.727,28.6364,Town1,env1,3,Letuce,6.3681,fruitveg,1
64,2,10,137.4975,16.6478,Town1,env1,1,George cloney,7.9192,face,1
65,2,10,137.4975,16.6478,Town1,env1,2,Zeebra,3.7995,animal,1
66,2,10,137.4975,16.6478,Town1,env1,3,Letuce,4.927,fruitveg,1
94,3,8,83.3115,14.2926,Town1,env1,1,George Clooney,8.3649,face,1
95,3,8,83.3115,14.2926,Town1,env1,2,Zeebra,3.4231,animal,1
96,3,8,83.3115,14.2926,Town1,env1,3,Letuce,2.5026,fruitveg,1
109,4,1,1.0011,11.396,Town1,env1,1,George Clooney,7.2407,face,1
110,4,1,1.0011,11.396,Town1,env1,2,Zeebra,2.287,animal,1
111,4,1,1.0011,11.396,Town1,env1,3,Letuce,1.8645,fruitveg,1
160,5,6,62.084,10.2331,Town1,env1,1,George Clooney,5.16,face,1
161,5,6,62.084,10.2331,Town1,env1,2,Letuce,3.5034,fruitveg,1
162,5,6,62.084,10.2331,Town1,env1,3,Zebra,1.5677,animal,1
13,1,5,233.613,43.7123,Town10,env10,1,Katy Perry,6.9903,face,1
14,1,5,233.613,43.7123,Town10,env10,2,grapes,35.8822,fruitveg,1
15,1,5,233.613,43.7123,Town10,env10,3,duck,0.838,animal,1
46,2,4,59.8558,10.239,Town10,env10,1,Kate Perry,3.9264,face,1
47,2,4,59.8558,10.239,Town10,env10,2,Duck,1.0378,animal,1
48,2,4,59.8558,10.239,Town10,env10,3,Grapes,5.273,fruitveg,1
103,3,11,126.4336,7.8918,Town10,env10,1,Katy Perry,5.1218,face,1
104,3,11,126.4336,7.8918,Town10,env10,2,Duck,1.1513,animal,1
105,3,11,126.4336,7.8918,Town10,env10,3,Grapes,1.617,fruitveg,1
121,4,5,46.0583,9.85,Town10,env10,1,Katy Perry,4.8337,face,1
122,4,5,46.0583,9.85,Town10,env10,2,Grapes,3.744,fruitveg,1
123,4,5,46.0583,9.85,Town10,env10,3,Duck,1.2704,animal,1
154,5,4,35.8193,12.6328,Town10,env10,1,Katy Pery,7.6733,face,1
155,5,4,35.8193,12.6328,Town10,env10,2,Grapes,3.3668,fruitveg,1
156,5,4,35.8193,12.6328,Town10,env10,3,Duck,1.5909,animal,1
10,1,4,224.0782,9.4939,Town11,env11,1,Johnny Deep,6.3171,face,1
11,1,4,224.0782,9.4939,Town11,env11,2,Carrot,2.1118,fruitveg,1
12,1,4,224.0782,9.4939,Town11,env11,3,Hammer,1.0632,tool,1
70,2,12,176.395,13.3498,Town11,env11,1,Johnny Depth,10.0541,face,1
71,2,12,176.395,13.3498,Town11,env11,2,Hammer,2.2463,tool,1
72,2,12,176.395,13.3498,Town11,env11,3,Carrot,1.0476,fruitveg,1
91,3,7,74.5532,8.7148,Town11,env11,1,Johnny Depth,5.7708,face,1
92,3,7,74.5532,8.7148,Town11,env11,2,Hammer,1.6158,tool,1
93,3,7,74.5532,8.7148,Town11,env11,3,Carrot,1.3264,fruitveg,1
127,4,7,74.3453,8.3709,Town11,env11,1,Johnny Depth,3.9391,face,1
128,4,7,74.3453,8.3709,Town11,env11,2,Hammer,3.3433,tool,1
