index,run,trial,onset,duration,town,pic,itemNum,resp,respRT
1,1,1,1.0025,50.7012,Town4,env4,1,Benedict Cumberbatch,34.0590
2,1,1,1.0025,50.7012,Town4,env4,2,?,16.0628
3,1,1,1.0025,50.7012,Town4,env4,3,?,0.5753
4,1,2,51.7446,107.9447,Town5,env5,1,Zooey Deschanel,106.1759
5,1,2,51.7446,107.9447,Town5,env5,2,?,1.1752
6,1,2,51.7446,107.9447,Town5,env5,3,?,0.5919
7,1,3,159.7301,64.3068,Town9,env9,1,Jim Parsons,50.2646
8,1,3,159.7301,64.3068,Town9,env9,2,Drill,1.2554
9,1,3,159.7301,64.3068,Town9,env9,3,Giraffe,12.7850
10,1,4,224.0782,9.4939,Town11,env11,1,Johnny Deep,6.3171
11,1,4,224.0782,9.4939,Town11,env11,2,Carrot,2.1118
12,1,4,224.0782,9.4939,Town11,env11,3,Hammer,1.0632
13,1,5,233.6130,43.7123,Town10,env10,1,Katy Perry,6.9903
14,1,5,233.6130,43.7123,Town10,env10,2,grapes,35.8822
15,1,5,233.6130,43.7123,Town10,env10,3,duck,0.8380
16,1,6,277.3663,18.3924,Town6,env6,1,Taylor Swift,11.2703
17,1,6,277.3663,18.3924,Town6,env6,2,Cow,2.0245
18,1,6,277.3663,18.3924,Town6,env6,3,Tape measure,5.0957
19,1,7,295.7993,15.8866,Town2,env2,1,Mark Zuckerberg,8.6382
20,1,7,295.7993,15.8866,Town2,env2,2,Cumcumber,3.2707
21,1,7,295.7993,15.8866,Town2,env2,3,Scissors,3.9759
22,1,8,311.7270,28.6364,Town1,env1,1,George Clooney,18.7713
23,1,8,311.7270,28.6364,Town1,env1,2,Zeebra,3.4951
24,1,8,311.7270,28.6364,Town1,env1,3,Letuce,6.3681
25,1,9,340.4044,9.6959,Town8,env8,1,Beyonce,6.1900
26,1,9,340.4044,9.6959,Town8,env8,2,Puppy,2.2320
27,1,9,340.4044,9.6959,Town8,env8,3,Eggs,1.2718
28,1,10,350.1417,25.1758,Town7,env7,1,Jim Parsons,12.1973
29,1,10,350.1417,25.1758,Town7,env7,2,Giraffe,11.6007
30,1,10,350.1417,25.1758,Town7,env7,3,Drill,1.3760
31,1,11,375.3596,44.5636,Town3,env3,1,Emma Watson,33.1148
32,1,11,375.3596,44.5636,Town3,env3,2,Bear,1.1032
33,1,11,375.3596,44.5636,Town3,env3,3,Screw driver,10.3438
34,1,12,419.9646,24.4983,Town12,env12,1,Natalie Portman,17.6659
35,1,12,419.9646,24.4983,Town12,env12,2,Alligator,5.9128
36,1,12,419.9646,24.4983,Town12,env12,3,Saw,0.9176
37,2,1,1.0024,13.5005,Town3,env3,1,Emma Stone,6.8974
38,2,1,1.0024,13.5005,Town3,env3,2,Screw driver,4.8077
39,2,1,1.0024,13.5005,Town3,env3,3,bear,1.7913
40,2,2,14.5457,29.1731,Town5,env5,1,Bendict Cumberbatch,8.1796
41,2,2,14.5457,29.1731,Town5,env5,2,Watermelon,4.4552
42,2,2,14.5457,29.1731,Town5,env5,3,Ostriag (sp?),16.5365
43,2,3,43.7607,16.0532,Town7,env7,1,Jim Parson,7.4844
44,2,3,43.7607,16.0532,Town7,env7,2,Drill,5.3522
45,2,3,43.7607,16.0532,Town7,env7,3,Giraffe,3.2148
46,2,4,59.8558,10.2390,Town10,env10,1,Kate Perry,3.9264
47,2,4,59.8558,10.2390,Town10,env10,2,Duck,1.0378
48,2,4,59.8558,10.2390,Town10,env10,3,Grapes,5.2730
49,2,5,70.1373,14.8122,Town6,env6,1,Taylor Swift,11.4920
50,2,5,70.1373,14.8122,Town6,env6,2,Cow,1.3747
51,2,5,70.1373,14.8122,Town6,env6,3,Tape Measure,1.9438
52,2,6,84.9917,16.5904,Town2,env2,1,Mark Zuckerberg,6.4852
53,2,6,84.9917,16.5904,Town2,env2,2,Cucumber,7.1608
54,2,6,84.9917,16.5904,Town2,env2,3,Scissors,2.9425
55,2,7,101.6253,15.3404,Town9,env9,1,Paul MacCarthy,8.3482
56,2,7,101.6253,15.3404,Town9,env9,2,Banana,3.9920
57,2,7,101.6253,15.3404,Town9,env9,3,Wrench,2.9983
58,2,8,117.0085,13.3259,Town4,env4,1,Natalie Portman,9.8295
59,2,8,117.0085,13.3259,Town4,env4,2,Saw,1.3513
60,2,8,117.0085,13.3259,Town4,env4,3,Alligator,2.1431
61,2,9,130.3766,7.0782,Town8,env8,1,Beyonce,2.6205
62,2,9,130.3766,7.0782,Town8,env8,2,Puppy,1.9918
63,2,9,130.3766,7.0782,Town8,env8,3,Lemons,2.4640
64,2,10,137.4975,16.6478,Town1,env1,1,George cloney,7.9192
65,2,10,137.4975,16.6478,Town1,env1,2,Zeebra,3.7995
66,2,10,137.4975,16.6478,Town1,env1,3,Letuce,4.9270
67,2,11,154.1874,22.1653,Town12,env12,1,Emma Stone,9.9966
68,2,11,154.1874,22.1653,Town12,env12,2,Saw,9.9364
69,2,11,154.1874,22.1653,Town12,env12,3,Alligator,2.2305
70,2,12,176.3950,13.3498,Town11,env11,1,Johnny Depth,10.0541
71,2,12,176.3950,13.3498,Town11,env11,2,Hammer,2.2463
72,2,12,176.3950,13.3498,Town11,env11,3,Carrot,1.0476
73,3,1,1.0018,14.5478,Town2,env2,1,Mark Zuckerberg,8.1934
74,3,1,1.0018,14.5478,Town2,env2,2,Cucumber,3.3592
75,3,1,1.0018,14.5478,Town2,env2,3,Scissors,2.9913
76,3,2,15.5932,14.3562,Town3,env3,1,Emma Stone,6.8436
77,3,2,15.5932,14.3562,Town3,env3,2,Screw driver,5.5427
78,3,2,15.5932,14.3562,Town3,env3,3,bear,1.9677
