index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0038,1.5967,face,0,NR,0,999.0000,NR,0,999.0000
2,1,2,13.6022,1.5984,face,0,0,1,0.5281,NR,0,999.0000
3,1,3,15.2008,1.6001,face,0,0,1,0.4551,NR,0,999.0000
4,1,4,16.8011,1.6003,face,0,0,1,0.4288,NR,0,999.0000
5,1,5,18.4016,1.5995,face,1,1,1,0.4115,NR,0,999.0000
6,1,6,20.0013,1.6001,face,0,0,1,0.4409,NR,0,999.0000
7,1,7,21.6016,1.5988,face,0,1,0,0.4527,NR,0,999.0000
8,1,8,23.2006,1.6003,face,1,NR,0,999.0000,1,1,0.0849
9,1,9,24.8011,1.5997,face,0,0,1,0.4895,NR,0,999.0000
10,1,10,26.4009,1.5993,face,1,1,1,0.5315,NR,0,999.0000
11,1,11,28.0161,9.9857,rest,0,NR,1,999.0000,NR,1,0.0000
12,1,12,38.0020,1.5984,tool,0,0,1,0.5262,NR,0,999.0000
13,1,13,39.6005,1.6003,tool,0,0,1,0.5010,NR,0,999.0000
14,1,14,41.2010,1.5994,tool,1,NR,0,999.0000,1,1,0.0893
15,1,15,42.8006,1.6000,tool,0,0,1,0.5394,NR,0,999.0000
16,1,16,44.4009,1.5993,tool,1,0,0,0.4549,1,1,0.1709
17,1,17,46.0004,1.6008,tool,0,NR,0,999.0000,0,1,0.0306
18,1,18,47.6014,1.5998,tool,0,NR,0,999.0000,0,1,0.0890
19,1,19,49.2014,1.5994,tool,0,0,1,0.5652,NR,0,999.0000
20,1,20,50.8010,1.5993,tool,0,0,1,0.5223,NR,0,999.0000
21,1,21,52.4005,1.6001,tool,1,1,1,0.4711,NR,0,999.0000
22,1,22,54.0166,9.9842,rest,0,NR,1,999.0000,NR,1,0.0000
23,1,23,64.0010,1.6001,face,0,NR,0,999.0000,0,1,0.2249
24,1,24,65.6013,1.5993,face,0,NR,0,999.0000,0,1,0.0148
25,1,25,67.2008,1.5997,face,1,1,1,0.5733,NR,0,999.0000
26,1,26,68.8007,1.6007,face,0,0,1,0.5290,NR,0,999.0000
27,1,27,70.4016,1.5996,face,0,0,1,0.5409,NR,0,999.0000
28,1,28,72.0014,1.5999,face,0,0,1,0.5282,NR,0,999.0000
29,1,29,73.6015,1.5988,face,1,1,1,0.5326,NR,0,999.0000
30,1,30,75.2005,1.6001,face,0,0,1,0.4676,NR,0,999.0000
31,1,31,76.8008,1.6002,face,0,0,1,0.4699,NR,0,999.0000
32,1,32,78.4012,1.5998,face,1,1,1,0.4366,NR,0,999.0000
33,1,33,80.0171,9.9833,rest,0,NR,1,999.0000,NR,1,0.0000
34,1,34,90.0007,1.6007,virtualtown,0,NR,0,999.0000,0,1,0.1871
35,1,35,91.6016,1.5988,virtualtown,0,NR,0,999.0000,0,1,0.2362
36,1,36,93.2006,1.6007,virtualtown,1,1,1,0.4507,NR,0,999.0000
37,1,37,94.8015,1.5989,virtualtown,0,0,1,0.4978,NR,0,999.0000
38,1,38,96.4006,1.6001,virtualtown,0,0,1,0.5239,NR,0,999.0000
39,1,39,98.0009,1.6005,virtualtown,1,NR,0,999.0000,1,1,0.0280
40,1,40,99.6016,1.5986,virtualtown,0,NR,0,999.0000,NR,0,999.0000
41,1,41,101.2004,1.6009,virtualtown,0,NR,0,999.0000,0,1,0.1440
42,1,42,102.8016,1.5992,virtualtown,1,1,1,0.3989,NR,0,999.0000
43,1,43,104.4010,1.5995,virtualtown,0,0,1,0.5037,NR,0,999.0000
44,1,44,106.0177,9.9828,rest,0,NR,1,999.0000,NR,1,0.0000
45,1,45,116.0008,1.5999,face,0,0,1,0.5292,NR,0,999.0000
46,1,46,117.6008,1.6001,face,0,0,1,0.4238,NR,0,999.0000
47,1,47,119.2011,1.5993,face,1,NR,0,999.0000,1,1,0.0996
48,1,48,120.8006,1.5997,face,0,0,1,0.5797,NR,0,999.0000
49,1,49,122.4004,1.6008,face,1,1,1,0.4290,NR,0,999.0000
50,1,50,124.0014,1.5988,face,0,0,1,0.4784,NR,0,999.0000
51,1,51,125.6004,1.6004,face,0,0,1,0.4924,NR,0,999.0000
52,1,52,127.2010,1.6000,face,1,NR,0,999.0000,1,1,0.0033
53,1,53,128.8013,1.5999,face,0,NR,0,999.0000,0,1,0.0712
54,1,54,130.4014,1.5987,face,0,0,1,0.5143,NR,0,999.0000
55,1,55,132.0183,9.9826,rest,0,NR,1,999.0000,NR,1,0.0000
56,1,56,142.0011,1.5990,animal,0,0,1,0.5163,NR,0,999.0000
57,1,57,143.6003,1.5998,animal,0,0,1,0.5343,NR,0,999.0000
58,1,58,145.2003,1.5999,animal,1,1,1,0.5221,NR,0,999.0000
59,1,59,146.8004,1.5999,animal,0,0,1,0.3833,NR,0,999.0000
60,1,60,148.4006,1.5998,animal,1,1,1,0.5397,NR,0,999.0000
61,1,61,150.0005,1.6007,animal,0,0,1,0.4334,NR,0,999.0000
62,1,62,151.6014,1.5994,animal,1,1,1,0.5294,NR,0,999.0000
63,1,63,153.2010,1.5994,animal,0,0,1,0.5546,NR,0,999.0000
64,1,64,154.8006,1.6005,animal,0,0,1,0.4498,NR,0,999.0000
65,1,65,156.4013,1.5991,animal,0,0,1,0.4848,NR,0,999.0000
66,1,66,158.0189,9.9819,rest,0,NR,1,999.0000,NR,1,0.0000
67,1,67,168.0010,1.5998,fruitveg,0,NR,0,999.0000,0,1,0.1042
68,1,68,169.6011,1.6000,fruitveg,0,0,1,0.4283,NR,0,999.0000
69,1,69,171.2012,1.5993,fruitveg,0,0,1,0.5010,NR,0,999.0000
70,1,70,172.8007,1.6005,fruitveg,1,NR,0,999.0000,NR,0,999.0000
71,1,71,174.4014,1.5993,fruitveg,0,0,1,0.4650,NR,0,999.0000
72,1,72,176.0009,1.5995,fruitveg,0,0,1,0.5525,NR,0,999.0000
73,1,73,177.6006,1.6000,fruitveg,1,1,1,0.5495,NR,0,999.0000
74,1,74,179.2008,1.5997,fruitveg,0,0,1,0.4911,NR,0,999.0000
75,1,75,180.8007,1.5998,fruitveg,0,0,1,0.5341,NR,0,999.0000
76,1,76,182.4007,1.5995,fruitveg,1,NR,0,999.0000,1,1,0.0035
77,1,77,184.0195,9.9816,rest,0,NR,1,999.0000,NR,1,0.0000
78,1,78,194.0014,1.5994,animal,0,NR,0,999.0000,0,1,0.0055
79,1,79,195.6010,1.5992,animal,0,NR,0,999.0000,0,1,0.0568
80,1,80,197.2005,1.6002,animal,1,1,1,0.5115,NR,0,999.0000
81,1,81,198.8009,1.6003,animal,0,NR,0,999.0000,0,1,0.0566
82,1,82,200.4014,1.5991,animal,0,0,1,0.5528,NR,0,999.0000
83,1,83,202.0007,1.5993,animal,0,0,1,0.5734,NR,0,999.0000
84,1,84,203.6003,1.6009,animal,1,1,1,0.5235,NR,0,999.0000
85,1,85,205.2014,1.5991,animal,0,0,1,0.3185,NR,0,999.0000
86,1,86,206.8007,1.6004,animal,1,NR,0,999.0000,0,0,0.3080
87,1,87,208.4013,1.5994,animal,0,NR,0,999.0000,0,1,0.4425
88,1,88,210.0032,9.9972,rest,0,NR,1,999.0000,NR,1,0.0000
89,1,89,220.0006,1.5999,fruitveg,0,0,1,0.4868,NR,0,999.0000
90,1,90,221.6008,1.6004,fruitveg,0,0,1,0.5101,NR,0,999.0000
91,1,91,223.2013,1.5995,fruitveg,0,0,1,0.4247,NR,0,999.0000
92,1,92,224.8010,1.5995,fruitveg,0,0,1,0.3229,NR,0,999.0000
93,1,93,226.4006,1.6002,fruitveg,0,0,1,0.4350,NR,0,999.0000
94,1,94,228.0010,1.5997,fruitveg,1,NR,0,999.0000,1,1,0.0411
95,1,95,229.6009,1.6000,fruitveg,0,0,1,0.3801,NR,0,999.0000
96,1,96,231.2011,1.5999,fruitveg,1,0,0,0.3429,1,1,0.1581
97,1,97,232.8012,1.5999,fruitveg,0,0,1,0.4645,NR,0,999.0000
98,1,98,234.4013,1.5991,fruitveg,1,1,1,0.5504,NR,0,999.0000
99,1,99,236.0037,9.9970,rest,0,NR,1,999.0000,NR,1,0.0000
100,1,100,246.0009,1.5992,animal,0,NR,0,999.0000,0,1,0.1279
101,1,101,247.6003,1.6003,animal,0,0,1,0.4861,NR,0,999.0000
102,1,102,249.2008,1.6007,animal,1,1,1,0.5190,NR,0,999.0000
103,1,103,250.8017,1.5984,animal,0,0,1,0.5715,NR,0,999.0000
104,1,104,252.4003,1.6009,animal,0,NR,0,999.0000,0,1,0.0621
105,1,105,254.0014,1.5993,animal,0,0,1,0.5679,NR,0,999.0000
106,1,106,255.6009,1.6001,animal,1,0,0,0.4463,1,1,0.1302
107,1,107,257.2011,1.5996,animal,0,0,1,0.5386,NR,0,999.0000
108,1,108,258.8009,1.5997,animal,1,NR,0,999.0000,1,1,0.1102
109,1,109,260.4009,1.6002,animal,0,0,1,0.5959,NR,0,999.0000
110,1,110,262.0043,9.9958,rest,0,NR,1,999.0000,NR,1,0.0000
111,1,111,272.0004,1.5999,tool,0,NR,0,999.0000,0,1,0.1226
112,1,112,273.6005,1.5996,tool,0,0,1,0.5756,NR,0,999.0000
113,1,113,275.2003,1.6007,tool,1,1,1,0.4388,NR,0,999.0000
114,1,114,276.8012,1.5990,tool,0,0,1,0.3879,NR,0,999.0000
115,1,115,278.4004,1.6010,tool,1,1,1,0.4724,NR,0,999.0000
116,1,116,280.0016,1.5997,tool,0,0,1,0.4358,NR,0,999.0000
117,1,117,281.6015,1.5997,tool,0,0,1,0.5786,NR,0,999.0000
118,1,118,283.2014,1.5991,tool,1,NR,0,999.0000,1,1,0.0752
119,1,119,284.8007,1.5997,tool,0,NR,0,999.0000,0,1,0.0106
120,1,120,286.4007,1.5994,tool,0,NR,0,999.0000,0,1,0.2890
121,1,121,288.0052,9.9954,rest,0,NR,1,999.0000,NR,1,0.0000
122,1,122,298.0007,1.5994,fruitveg,0,NR,0,999.0000,0,1,0.1916
123,1,123,299.6003,1.6009,fruitveg,0,0,1,0.5527,NR,0,999.0000
124,1,124,301.2014,1.5994,fruitveg,0,0,1,0.5428,NR,0,999.0000
125,1,125,302.8010,1.6000,fruitveg,1,1,1,0.5609,NR,0,999.0000
126,1,126,304.4012,1.5992,fruitveg,0,0,1,0.5207,NR,0,999.0000
127,1,127,306.0005,1.6008,fruitveg,1,1,1,0.4882,NR,0,999.0000
128,1,128,307.6016,1.5998,fruitveg,0,NR,0,999.0000,0,1,0.7550
129,1,129,309.2016,1.5992,fruitveg,1,0,0,0.2776,1,1,0.0598
130,1,130,310.8009,1.5997,fruitveg,0,0,1,0.4816,NR,0,999.0000
131,1,131,312.4008,1.6002,fruitveg,0,0,1,0.4755,NR,0,999.0000
132,1,132,314.0058,9.9946,rest,0,NR,1,999.0000,NR,1,0.0000
133,1,133,324.0006,1.6005,tool,0,0,1,0.5729,NR,0,999.0000
134,1,134,325.6013,1.5994,tool,0,0,1,0.4803,NR,0,999.0000
135,1,135,327.2009,1.6003,tool,1,1,1,0.4721,NR,0,999.0000
136,1,136,328.8014,1.5990,tool,0,0,1,0.5094,NR,0,999.0000
137,1,137,330.4007,1.5997,tool,1,1,1,0.4164,NR,0,999.0000
138,1,138,332.0005,1.6005,tool,0,0,1,0.3950,NR,0,999.0000
139,1,139,333.6012,1.5999,tool,1,1,1,0.4852,NR,0,999.0000
140,1,140,335.2013,1.5996,tool,0,0,1,0.3840,NR,0,999.0000
141,1,141,336.8011,1.5997,tool,0,0,1,0.5926,NR,0,999.0000
142,1,142,338.4010,1.5992,tool,0,0,1,0.4834,NR,0,999.0000
143,1,143,340.0065,9.9949,rest,0,NR,1,999.0000,NR,1,0.0000
144,1,144,350.0015,1.5987,animal,0,NR,0,999.0000,NR,0,999.0000
145,1,145,351.6004,1.6000,animal,0,NR,0,999.0000,0,1,0.8932
146,1,146,353.2005,1.6009,animal,1,0,0,0.4712,1,1,0.1119
147,1,147,354.8016,1.5992,animal,0,0,1,0.4685,NR,0,999.0000
148,1,148,356.4010,1.6002,animal,1,1,1,0.4706,NR,0,999.0000
149,1,149,358.0014,1.5989,animal,0,0,1,0.4953,NR,0,999.0000
150,1,150,359.6004,1.6007,animal,1,1,1,0.5446,NR,0,999.0000
151,1,151,361.2013,1.5998,animal,0,NR,0,999.0000,NR,0,999.0000
152,1,152,362.8013,1.5989,animal,0,NR,0,999.0000,0,1,0.0634
