index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.0014,88.8477,Town9,env9,1,stapler,71.4864,tool,0
2,1,1,1.0014,88.8477,Town9,env9,2,zoey katy perry lookalike,11.4954,face,0
3,1,1,1.0014,88.8477,Town9,env9,3,dog,5.8619,fruitveg,0
4,1,2,89.8989,22.202,Town3,env3,1,watermelon,12.2426,face,0
5,1,2,89.8989,22.202,Town3,env3,2,drill,2.0232,animal,0
6,1,2,89.8989,22.202,Town3,env3,3,natalie portman,7.9344,tool,0
7,1,3,112.1521,22.8105,Town5,env5,1,giraffe,10.6493,face,0
8,1,3,112.1521,22.8105,Town5,env5,2,measuring tape,5.6245,animal,0
9,1,3,112.1521,22.8105,Town5,env5,3,katy perry,6.5349,fruitveg,0
10,1,4,135.0103,44.0414,Town7,env7,1,johnny depp,14.4157,face,0
11,1,4,135.0103,44.0414,Town7,env7,2,bear,24.0327,animal,0
12,1,4,135.0103,44.0414,Town7,env7,3,grapes,5.5911,tool,0
13,1,5,179.1,11.9468,Town6,env6,1,?,4.0552,face,0
14,1,5,179.1,11.9468,Town6,env6,2,?,4.1849,animal,0
15,1,5,179.1,11.9468,Town6,env6,3,johnny depp,3.7048,tool,0
16,1,6,191.0963,12.7902,Town8,env8,1,?,7.0281,face,0
17,1,6,191.0963,12.7902,Town8,env8,2,banana,5.0652,animal,0
18,1,6,191.0963,12.7902,Town8,env8,3,?,0.695,fruitveg,0
19,1,7,203.9348,18.6261,Town12,env12,1,stapler,7.5937,tool,1
20,1,7,203.9348,18.6261,Town12,env12,2,watermelon,6.6156,fruitveg,0
21,1,7,203.9348,18.6261,Town12,env12,3,dog,4.4151,face,0
22,1,8,222.6091,24.56,Town10,env10,1,dog,6.7432,animal,0
23,1,8,222.6091,24.56,Town10,env10,2,watermelon,17.2559,fruitveg,0
24,1,8,222.6091,24.56,Town10,env10,3,?,0.5593,face,0
25,1,9,247.2177,19.781,Town2,env2,1,george clooney,10.7924,face,0
26,1,9,247.2177,19.781,Town2,env2,2,banana,8.3546,fruitveg,0
27,1,9,247.2177,19.781,Town2,env2,3,?,0.6323,tool,0
28,1,10,267.0471,25.6151,Town1,env1,1,pat m.,15.4154,face,0
29,1,10,267.0471,25.6151,Town1,env1,2,?,9.5911,animal,0
30,1,10,267.0471,25.6151,Town1,env1,3,?,0.6069,fruitveg,0
31,1,11,292.7104,24.7419,Town11,env11,1,?,23.2213,face,0
32,1,11,292.7104,24.7419,Town11,env11,2,?,0.6165,fruitveg,0
33,1,11,292.7104,24.7419,Town11,env11,3,?,0.9024,tool,0
34,1,12,317.502,15.2361,Town4,env4,1,tape measure,13.3954,tool,0
35,1,12,317.502,15.2361,Town4,env4,2,lettuce,1.2155,face,0
36,1,12,317.502,15.2361,Town4,env4,3,?,0.6233,animal,0
37,2,1,1.0019,7.6759,Town8,env8,1,beyonce,5.2096,face,1
38,2,1,1.0019,7.6759,Town8,env8,2,oranges,1.6707,fruitveg,1
39,2,1,1.0019,7.6759,Town8,env8,3,dog,0.7915,animal,1
40,2,2,8.7227,20.9548,Town1,env1,1,clooney,17.442,face,1
41,2,2,8.7227,20.9548,Town1,env1,2,lettuce,1.863,fruitveg,1
42,2,2,8.7227,20.9548,Town1,env1,3,zebra,1.648,animal,1
43,2,3,29.7229,16.4032,Town7,env7,1,sheldon,3.6023,face,1
44,2,3,29.7229,16.4032,Town7,env7,2,hammer,12.0555,tool,0
45,2,3,29.7229,16.4032,Town7,env7,3,?,0.7437,animal,0
46,2,4,46.1692,10.46,Town11,env11,1,johnny depp,4.4202,face,1
47,2,4,46.1692,10.46,Town11,env11,2,carrot,0.9589,fruitveg,1
48,2,4,46.1692,10.46,Town11,env11,3,hammer,5.0792,tool,1
49,2,5,56.6729,7.582,Town10,env10,1,katy perry,3.2203,face,1
50,2,5,56.6729,7.582,Town10,env10,2,duck,0.7834,animal,1
51,2,5,56.6729,7.582,Town10,env10,3,watermelon,3.5764,fruitveg,0
52,2,6,64.2982,35.8251,Town4,env4,1,croc,7.691,animal,1
53,2,6,64.2982,35.8251,Town4,env4,2, saw,22.8601,tool,1
54,2,6,64.2982,35.8251,Town4,env4,3,?,5.2722,face,0
55,2,7,100.1665,15.596,Town2,env2,1,zuckerburg,9.8278,face,1
56,2,7,100.1665,15.596,Town2,env2,2,banana,5.1917,fruitveg,0
57,2,7,100.1665,15.596,Town2,env2,3,?,0.5748,tool,0
58,2,8,115.807,21.7762,Town6,env6,1,taylor swift,18.6012,face,1
59,2,8,115.807,21.7762,Town6,env6,2,cow,0.9423,animal,1
60,2,8,115.807,21.7762,Town6,env6,3,measuring tape,2.2309,tool,1
