,subid,compass,generalSOD,landmark,route,survey,surveySpatial,verbalSpatial,survey_pref
0,1,6,11,10,8,6,5,3,-4
1,2,5,12,10,8,5,4,2,-5
2,3,5,15,8,8,4,2,5,-4
3,4,7,16,9,8,7,4,3,-2
4,5,5,10,8,2,2,5,1,-6
5,6,12,19,10,8,5,1,5,-5
6,7,5,10,7,8,6,3,3,-1
7,8,6,12,9,6,3,4,4,-6
