index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0035,1.5982,fruitveg,0,NR,0,999.0000,NR,0,999.0000
2,1,2,13.6035,1.5975,fruitveg,0,0,1,0.4868,NR,0,999.0000
3,1,3,15.2012,1.5991,fruitveg,1,1,1,0.4989,NR,0,999.0000
4,1,4,16.8005,1.6005,fruitveg,0,NR,0,999.0000,0,1,0.1189
5,1,5,18.4012,1.5998,fruitveg,1,1,1,0.5460,NR,0,999.0000
6,1,6,20.0012,1.6002,fruitveg,0,0,1,0.5534,NR,0,999.0000
7,1,7,21.6016,1.5993,fruitveg,0,0,1,0.4920,NR,0,999.0000
8,1,8,23.2011,1.5994,fruitveg,0,1,0,0.5387,NR,0,999.0000
9,1,9,24.8007,1.6001,fruitveg,1,NR,0,999.0000,1,1,0.0757
10,1,10,26.4010,1.5995,fruitveg,0,0,1,0.4964,NR,0,999.0000
11,1,11,28.0166,9.9847,rest,0,NR,1,999.0000,NR,1,0.0000
12,1,12,38.0015,1.5988,face,0,NR,0,999.0000,NR,0,999.0000
13,1,13,39.6006,1.5996,face,0,NR,0,999.0000,0,1,0.0930
14,1,14,41.2003,1.6010,face,0,0,1,0.5585,NR,0,999.0000
15,1,15,42.8015,1.5995,face,1,1,1,0.4618,NR,0,999.0000
16,1,16,44.4012,1.5993,face,0,0,1,0.4792,NR,0,999.0000
17,1,17,46.0007,1.5996,face,0,0,1,0.5592,NR,0,999.0000
18,1,18,47.6005,1.5996,face,1,NR,0,999.0000,1,1,0.1272
19,1,19,49.2003,1.6011,face,0,0,1,0.5209,NR,0,999.0000
20,1,20,50.8017,1.5992,face,1,1,1,0.5166,NR,0,999.0000
21,1,21,52.4011,1.5993,face,0,0,1,0.5288,NR,0,999.0000
22,1,22,54.0172,9.9837,rest,0,NR,1,999.0000,NR,1,0.0000
23,1,23,64.0012,1.5997,tool,0,NR,0,999.0000,NR,0,999.0000
24,1,24,65.6011,1.5991,tool,0,NR,0,999.0000,0,1,0.0048
25,1,25,67.2003,1.5999,tool,1,1,1,0.5489,NR,0,999.0000
26,1,26,68.8004,1.6008,tool,0,0,1,0.5525,NR,0,999.0000
27,1,27,70.4014,1.5997,tool,0,NR,0,999.0000,0,1,0.0689
28,1,28,72.0013,1.5995,tool,0,NR,0,999.0000,0,1,0.1054
29,1,29,73.6011,1.5996,tool,0,0,1,0.5299,NR,0,999.0000
30,1,30,75.2009,1.5997,tool,1,1,1,0.5577,NR,0,999.0000
31,1,31,76.8008,1.5994,tool,0,NR,0,999.0000,0,1,0.0274
32,1,32,78.4004,1.6010,tool,1,1,1,0.4592,NR,0,999.0000
33,1,33,80.0177,9.9825,rest,0,NR,1,999.0000,NR,1,0.0000
34,1,34,90.0003,1.6000,animal,0,NR,0,999.0000,NR,0,999.0000
35,1,35,91.6005,1.5998,animal,0,NR,0,999.0000,0,1,0.0263
36,1,36,93.2006,1.5999,animal,0,0,1,0.5332,NR,0,999.0000
37,1,37,94.8007,1.6004,animal,1,0,0,0.4480,NR,0,999.0000
38,1,38,96.4013,1.5994,animal,0,0,1,0.5519,NR,0,999.0000
39,1,39,98.0009,1.5994,animal,0,NR,0,999.0000,NR,0,999.0000
40,1,40,99.6005,1.6009,animal,1,1,1,0.4810,NR,0,999.0000
41,1,41,101.2016,1.5992,animal,0,0,1,0.5289,NR,0,999.0000
42,1,42,102.8010,1.6005,animal,0,0,1,0.5365,NR,0,999.0000
43,1,43,104.4017,1.5985,animal,1,1,1,0.4939,NR,0,999.0000
44,1,44,106.0182,9.9824,rest,0,NR,1,999.0000,NR,1,0.0000
45,1,45,116.0008,1.5992,fruitveg,0,NR,0,999.0000,NR,0,999.0000
46,1,46,117.6002,1.5998,fruitveg,0,0,1,0.4780,NR,0,999.0000
47,1,47,119.2003,1.6008,fruitveg,0,0,1,0.5574,NR,0,999.0000
48,1,48,120.8013,1.5998,fruitveg,0,0,1,0.5575,NR,0,999.0000
49,1,49,122.4012,1.5989,fruitveg,1,1,1,0.4203,NR,0,999.0000
50,1,50,124.0003,1.6004,fruitveg,0,0,1,0.4222,NR,0,999.0000
51,1,51,125.6009,1.5998,fruitveg,1,0,0,0.4245,NR,0,999.0000
52,1,52,127.2009,1.5994,fruitveg,0,0,1,0.5443,NR,0,999.0000
53,1,53,128.8006,1.6004,fruitveg,0,NR,0,999.0000,0,1,0.0631
54,1,54,130.4011,1.5995,fruitveg,1,NR,0,999.0000,NR,0,999.0000
