env,x_lo,x_hi,y_lo,y_hi
env1,16,32,5,15
env2,8,28,28,48
env3,24,40,16,24
env4,16,32,16,24
env5,12,20,20,31
env6,24,40,24,40
env7,10,15,30,40
env8,16,32,0,16
env9,24,35,0,12
env10,48,56,24,40
env11,24,32,40,48
env12,24,35,30,45
