env,x,y
env1,40,8
env1,41,8
env1,42,8
env1,43,8
env1,44,8
env1,45,8
env1,46,8
env1,47,8
env1,48,8
env1,48,9
env1,48,10
env1,48,11
env1,48,12
env1,48,13
env1,48,14
env1,48,15
env1,48,16
env1,48,17
env1,48,18
env1,48,19
env1,48,20
env1,48,21
env1,48,22
env1,48,23
env1,48,24
env1,48,25
env1,48,26
env1,48,27
env1,48,28
env1,48,29
env1,48,30
env1,48,31
env1,48,32
env1,48,33
env1,48,34
env1,48,35
env1,48,36
env1,48,37
env1,48,38
env1,48,39
env1,48,40
env1,48,41
env1,48,42
env1,48,43
env1,48,44
env1,48,45
env1,48,46
env1,48,47
env1,48,48
env1,40,8
env1,40,9
env1,40,10
env1,40,11
env1,40,12
env1,40,13
env1,40,14
env1,40,15
env1,40,16
env1,40,17
env1,40,18
env1,40,19
env1,40,20
env1,40,21
env1,40,22
env1,40,23
env1,40,24
env1,40,25
env1,40,26
env1,40,27
env1,40,28
env1,40,29
env1,40,30
env1,40,31
env1,40,32
env1,40,33
env1,40,34
env1,40,35
env1,40,36
env1,40,37
env1,40,38
env1,40,39
env1,40,40
env1,39,40
env1,38,40
env1,37,40
env1,36,40
env1,35,40
env1,34,40
env1,33,40
env1,32,40
env1,31,40
env1,30,40
env1,29,40
env1,28,40
env1,27,40
env1,26,40
env1,25,40
env1,24,40
env1,24,48
env1,25,48
env1,26,48
env1,27,48
env1,28,48
env1,29,48
env1,30,48
env1,31,48
env1,32,48
env1,33,48
env1,34,48
env1,35,48
env1,36,48
env1,37,48
env1,38,48
env1,39,48
env1,40,48
env1,41,48
env1,42,48
env1,43,48
env1,44,48
env1,45,48
env1,46,48
env1,47,48
env1,48,48
env1,24,40
env1,24,41
env1,24,42
env1,24,43
env1,24,44
env1,24,45
env1,24,46
env1,24,47
env1,24,48
env1,24,8
env1,25,8
env1,26,8
env1,27,8
env1,28,8
env1,29,8
env1,30,8
env1,31,8
env1,32,8
env1,24,32
env1,25,32
env1,26,32
env1,27,32
env1,28,32
env1,29,32
env1,30,32
env1,31,32
env1,32,32
env1,32,8
env1,32,9
env1,32,10
env1,32,11
env1,32,12
env1,32,13
env1,32,14
env1,32,15
env1,32,16
env1,32,17
env1,32,18
env1,32,19
env1,32,20
env1,32,21
env1,32,22
env1,32,23
env1,32,24
env1,32,25
env1,32,26
env1,32,27
env1,32,28
env1,32,29
env1,32,30
env1,32,31
env1,32,32
env1,24,8
env1,24,9
env1,24,10
env1,24,11
env1,24,12
env1,24,13
env1,24,14
env1,24,15
env1,24,16
env1,24,17
env1,24,18
env1,24,19
env1,24,20
env1,24,21
env1,24,22
env1,24,23
env1,24,24
env1,24,25
env1,24,26
env1,24,27
env1,24,28
env1,24,29
env1,24,30
env1,24,31
env1,24,32
env1,16,24
env1,16,25
env1,16,26
env1,16,27
env1,16,28
env1,16,29
env1,16,30
env1,16,31
env1,16,32
env1,16,33
env1,16,34
env1,16,35
env1,16,36
env1,16,37
env1,16,38
env1,16,39
env1,16,40
env1,16,41
env1,16,42
env1,16,43
env1,16,44
env1,16,45
env1,16,46
env1,16,47
env1,16,48
env1,8,24
env1,8,25
env1,8,26
env1,8,27
env1,8,28
env1,8,29
env1,8,30
env1,8,31
env1,8,32
env1,8,33
env1,8,34
env1,8,35
env1,8,36
env1,8,37
env1,8,38
env1,8,39
env1,8,40
env1,8,41
env1,8,42
env1,8,43
env1,8,44
env1,8,45
env1,8,46
env1,8,47
env1,8,48
env1,16,0
env1,16,1
env1,16,2
env1,16,3
env1,16,4
env1,16,5
env1,16,6
env1,16,7
env1,16,8
env1,16,9
env1,16,10
env1,16,11
env1,16,12
env1,16,13
env1,16,14
env1,16,15
env1,16,16
env1,0,16
env1,1,16
env1,2,16
env1,3,16
env1,4,16
env1,5,16
env1,6,16
env1,7,16
env1,8,16
env1,9,16
env1,10,16
env1,11,16
env1,12,16
env1,13,16
env1,14,16
env1,15,16
env1,16,16
env1,8,24
env1,9,24
env1,10,24
env1,11,24
env1,12,24
env1,13,24
env1,14,24
env1,15,24
env1,16,24
env1,8,48
env1,9,48
env1,10,48
env1,11,48
env1,12,48
env1,13,48
env1,14,48
env1,15,48
env1,16,48
env2,0,16
env2,1,16
env2,2,16
env2,3,16
env2,4,16
env2,5,16
env2,6,16
env2,7,16
env2,8,16
env2,9,16
env2,10,16
env2,11,16
env2,12,16
env2,13,16
env2,14,16
env2,15,16
env2,16,16
env2,16,0
env2,16,1
env2,16,2
env2,16,3
env2,16,4
env2,16,5
env2,16,6
env2,16,7
env2,16,8
env2,16,9
env2,16,10
env2,16,11
env2,16,12
env2,16,13
env2,16,14
env2,16,15
env2,16,16
env2,24,8
env2,25,8
env2,26,8
env2,27,8
env2,28,8
env2,29,8
env2,30,8
env2,31,8
env2,32,8
env2,33,8
env2,34,8
env2,35,8
env2,36,8
env2,37,8
env2,38,8
env2,39,8
env2,40,8
env2,40,8
env2,40,9
env2,40,10
env2,40,11
env2,40,12
env2,40,13
env2,40,14
env2,40,15
env2,40,16
env2,28,16
env2,29,16
env2,30,16
env2,31,16
env2,32,16
env2,33,16
env2,34,16
env2,35,16
env2,36,16
env2,37,16
env2,38,16
env2,39,16
env2,40,16
env2,28,16
env2,28,17
env2,28,18
env2,28,19
env2,28,20
env2,28,21
env2,28,22
env2,28,23
env2,28,24
env2,28,25
env2,28,26
env2,28,27
env2,28,28
env2,28,28
env2,29,28
env2,30,28
env2,31,28
env2,32,28
env2,33,28
env2,34,28
env2,35,28
env2,36,28
env2,36,24
env2,36,25
env2,36,26
env2,36,27
env2,36,28
env2,36,24
env2,37,24
env2,38,24
env2,39,24
env2,40,24
env2,40,24
env2,40,25
env2,40,26
env2,40,27
env2,40,28
env2,40,29
env2,40,30
env2,40,31
env2,40,32
env2,40,33
env2,40,34
env2,40,35
env2,40,36
env2,40,37
env2,40,38
env2,40,39
env2,40,40
env2,40,41
env2,40,42
env2,40,43
env2,40,44
env2,40,45
env2,40,46
env2,40,47
env2,40,48
env2,28,48
env2,29,48
env2,30,48
env2,31,48
env2,32,48
env2,33,48
env2,34,48
env2,35,48
env2,36,48
env2,37,48
env2,38,48
env2,39,48
env2,40,48
env2,28,44
env2,28,45
env2,28,46
env2,28,47
env2,28,48
env2,24,44
env2,25,44
env2,26,44
env2,27,44
env2,28,44
env2,24,40
env2,24,41
env2,24,42
env2,24,43
env2,24,44
env2,20,40
env2,21,40
env2,22,40
env2,23,40
env2,24,40
env2,20,36
env2,20,37
env2,20,38
env2,20,39
env2,20,40
env2,16,36
env2,17,36
env2,18,36
env2,19,36
env2,20,36
env2,16,32
env2,16,33
env2,16,34
env2,16,35
env2,16,36
env2,12,32
env2,13,32
env2,14,32
env2,15,32
env2,16,32
env2,12,28
env2,12,29
env2,12,30
env2,12,31
env2,12,32
env2,8,28
env2,9,28
env2,10,28
env2,11,28
env2,12,28
env2,8,24
env2,8,25
env2,8,26
