index,run,trial,onset,duration,town,pic,itemNum,resp,respRT
1,1,1,1.0016,64.5191,Town8,env8,1,puppy,22.2309
2,1,1,1.0016,64.5191,Town8,env8,2,?,41.6841
3,1,1,1.0016,64.5191,Town8,env8,3,?,0.6001
4,1,2,65.5620,31.6019,Town1,env1,1,carrot,20.1603
5,1,2,65.5620,31.6019,Town1,env1,2,sherlock actor,5.3525
6,1,2,65.5620,31.6019,Town1,env1,3,lettuce,6.0869
7,1,3,97.2049,23.9109,Town7,env7,1,grape,11.7504
8,1,3,97.2049,23.9109,Town7,env7,2,zoey D-something,11.4622
9,1,3,97.2049,23.9109,Town7,env7,3,?,0.6964
10,1,4,121.1565,36.0083,Town3,env3,1,grape,15.0516
11,1,4,121.1565,36.0083,Town3,env3,2,emma watson,11.5395
12,1,4,121.1565,36.0083,Town3,env3,3,screwdriver,9.4154
13,1,5,157.2059,38.7449,Town11,env11,1,beyonce,27.4381
14,1,5,157.2059,38.7449,Town11,env11,2,drill,7.0243
15,1,5,157.2059,38.7449,Town11,env11,3,giraffe,4.2803
16,1,6,195.9927,22.1171,Town5,env5,1,saw,6.7564
17,1,6,195.9927,22.1171,Town5,env5,2,george cloony,10.5119
18,1,6,195.9927,22.1171,Town5,env5,3,bear,4.8470
19,1,7,218.1516,42.3821,Town4,env4,1,natalie portman,25.6124
20,1,7,218.1516,42.3821,Town4,env4,2,cow,9.1041
21,1,7,218.1516,42.3821,Town4,env4,3,?,7.6637
22,1,8,260.5741,55.4602,Town2,env2,1,apple,29.9533
23,1,8,260.5741,55.4602,Town2,env2,2,?,24.5046
24,1,8,260.5741,55.4602,Town2,env2,3,?,1.0005
25,1,9,316.0753,33.6062,Town6,env6,1,mark zuckerburg,20.0689
26,1,9,316.0753,33.6062,Town6,env6,2,bear,12.1997
27,1,9,316.0753,33.6062,Town6,env6,3,?,1.3356
28,1,10,349.7219,47.9111,Town9,env9,1,johnny depp,39.0636
29,1,10,349.7219,47.9111,Town9,env9,2,?,5.3431
30,1,10,349.7219,47.9111,Town9,env9,3,ruler,3.5025
31,1,11,397.6740,32.5319,Town10,env10,1,carrot,25.7801
32,1,11,397.6740,32.5319,Town10,env10,2,?,4.6553
33,1,11,397.6740,32.5319,Town10,env10,3,?,2.0947
34,1,12,430.2470,58.7803,Town12,env12,1,big bang theory guy,37.3891
35,1,12,430.2470,58.7803,Town12,env12,2,?,19.1823
36,1,12,430.2470,58.7803,Town12,env12,3,saw,2.2070
37,2,1,1.0013,12.7827,Town10,env10,1,katy perry,6.6523
38,2,1,1.0013,12.7827,Town10,env10,2,duck,2.7421
39,2,1,1.0013,12.7827,Town10,env10,3,grape,3.3844
40,2,2,13.8279,19.5824,Town3,env3,1,flamingo,12.5812
41,2,2,13.8279,19.5824,Town3,env3,2,watermelon,2.8565
42,2,2,13.8279,19.5824,Town3,env3,3,sherlock actor,4.1428
43,2,3,33.4539,54.1899,Town4,env4,1,zoey D,49.2383
44,2,3,33.4539,54.1899,Town4,env4,2,staple,2.4954
45,2,3,33.4539,54.1899,Town4,env4,3,apple,2.4544
46,2,4,87.6878,24.9898,Town6,env6,1,bear,17.0360
47,2,4,87.6878,24.9898,Town6,env6,2,emma watson,5.4243
48,2,4,87.6878,24.9898,Town6,env6,3,screwdriver,2.5277
49,2,5,112.7216,53.1636,Town11,env11,1,natalie portman,49.5964
50,2,5,112.7216,53.1636,Town11,env11,2,aligator,2.5259
51,2,5,112.7216,53.1636,Town11,env11,3,saw,1.0395
